"artist","l1","l2","l3"
agnetha faltskog,agnetha faltskog,agnetha faltskog,agnetha faltskog
agnetha faltskog/peter cetera,agnetha faltskog/peter cetera,agnetha faltskog/peter cetera,agnetha faltskog peter cetera
agust d,agust d,agust d,agust d
ahmad,ahmad,ahmad,ahmad
aimee mann,aimee mann,aimee mann,aimee mann
air supply,air supply,air supply,air supply
airwaves,airwaves,airwaves,airwaves
ajr,ajr,ajr,ajr
akon,akon,akon,akon
al (he's the king) hirt,al hirt,al hirt,al hirt
al b. sure!,al b. sure!,al b. sure!,al b sure
al brown's tunetoppers,al brown's tunetoppers,al browns tunetoppers,al browns tunetoppers
al caiola,al caiola,al caiola,al caiola
al casey,al casey,al casey,al casey
al casey combo,al casey combo,al casey combo,al casey combo
al corley,al corley,al corley,al corley
al delory,al delory,al delory,al delory
al downing,al downing,al downing,al downing
al green,al green,al green,al green
al greene,al greene,al greene,al greene
al hirt,al hirt,al hirt,al hirt
al jarreau,al jarreau,al jarreau,al jarreau
al kent,al kent,al kent,al kent
al martino,al martino,al martino,al martino
al stewart,al stewart,al stewart,al stewart
al wilson,al wilson,al wilson,al wilson
alabama,alabama,alabama,alabama
alabama shakes,alabama shakes,alabama shakes,alabama shakes
alan jackson,alan jackson,alan jackson,alan jackson
alan o'day,alan o'day,alan oday,alan oday
alan parsons,alan parsons,alan parsons,alan parsons
alan price set,alan price set,alan price set,alan price set
alan walker,alan walker,alan walker,alan walker
alana davis,alana davis,alana davis,alana davis
alanis morissette,alanis morissette,alanis morissette,alanis morissette
alannah myles,alannah myles,alannah myles,alannah myles
albert hammond,albert hammond,albert hammond,albert hammond
albert king,albert king,albert king,albert king
aldo nova,aldo nova,aldo nova,aldo nova
ale,ale,ale,ale
alec benjamin + alessia cara,alec benjamin + alessia cara,alec benjamin + alessia cara,alec benjamin alessia cara
alej,alej,alej,alej
aleman,aleman,aleman,aleman
alessi,alessi,alessi,alessi
alessia cara,alessia cara,alessia cara,alessia cara
alesso,alesso,alesso,alesso
alesso / katy perry,alesso / katy perry,alesso / katy perry,alesso katy perry
alfonzo hunter,alfonzo hunter,alfonzo hunter,alfonzo hunter
ali gatie,ali gatie,ali gatie,ali gatie
ali thomson,ali thomson,ali thomson,ali thomson
alias,alias,alias,alias
alice cooper,alice cooper,alice cooper,alice cooper
alice deejay,alice deejay,alice deejay,alice deejay
alice in chains,alice in chains,alice in chains,alice in chains
alice merton,alice merton,alice merton,alice merton
alice wonder l,alice wonder l,alice wonder l,alice wonder l
alicia bridges,alicia bridges,alicia bridges,alicia bridges
alicia keys,alicia keys,alicia keys,alicia keys
alien ant farm,alien ant farm,alien ant farm,alien ant farm
alisan porter,alisan porter,alisan porter,alisan porter
alisha,alisha,alisha,alisha
alison gold,alison gold,alison gold,alison gold
alison krauss + union station,alison krauss + union station,alison krauss + union station,alison krauss union station
alison moyet,alison moyet,alison moyet,alison moyet
alive,alive,alive,alive
alive 'n kickin',alive 'n kickin',alive n kickin,alive n kickin
all city,all city,all city,all city
all saints,all saints,all saints,all saints
all sports b,all sports b,all sports b,all sports b
all star tribute,all star tribute,all star tribute,all star tribute
all time low,all time low,all time low,all time low
all-4-one,all-4-one,all-4-one,all 4 one
allan clarke,allan clarke,allan clarke,allan clarke
allan sherman,allan sherman,allan sherman,allan sherman
allure,allure,allure,allure
aloe blacc,aloe blacc,aloe blacc,aloe blacc
alpha rev,alpha rev,alpha rev,alpha rev
alpha team,alpha team,alpha team,alpha team
alphaville,alphaville,alphaville,alphaville
alt-j,alt-j,alt-j,alt j
alton mcclain,alton mcclain,alton mcclain,alton mcclain
alvin,alvin,alvin,alvin
alvin cash,alvin cash,alvin cash,alvin cash
alvin robinson,alvin robinson,alvin robinson,alvin robinson
aly,aly,aly,aly
am,am,am,am
amaarae,amaarae,amaarae,amaarae
amazing rhythm aces,amazing rhythm aces,amazing rhythm aces,amazing rhythm aces
amazulu,amazulu,amazulu,amazulu
amber,amber,amber,amber
amber carrington,amber carrington,amber carrington,amber carrington
ambjaay,ambjaay,ambjaay,ambjaay
ambrosia,ambrosia,ambrosia,ambrosia
amel larrieu,amel larrieu,amel larrieu,amel larrieu
america,america,america,america
american authors,american authors,american authors,american authors
american flyer,american flyer,american flyer,american flyer
american hi-fi,american hi-fi,american hi-fi,american hi fi
american idol finalists,american idol finalists,american idol finalists,american idol finalists
american idol finalists season 4,american idol finalists season 4,american idol finalists season 4,american idol finalists season 4
american idol top 8,american idol top 8,american idol top 8,american idol top 8
amerie,amerie,amerie,amerie
amii stewart,amii stewart,amii stewart,amii stewart
amine,amine,amine,amine
amy grant,amy grant,amy grant,amy grant
amy holl,amy holl,amy holl,amy holl
amy winehouse,amy winehouse,amy winehouse,amy winehouse
ana,ana,ana,ana
anacostia,anacostia,anacostia,anacostia
anais,anais,anais,anais
anastacia,anastacia,anastacia,anastacia
angel,angel,angel,angel
angel city,angel city,angel city,angel city
angelica,angelica,angelica,angelica
angelina,angelina,angelina,angelina
angels,angels,angels,angels
angie martinez,angie martinez,angie martinez,angie martinez
angie stone,angie stone,angie stone,angie stone
animotion,animotion,animotion,animotion
anita,anita,anita,anita
anita baker,anita baker,anita baker,anita baker
anita bryant,anita bryant,anita bryant,anita bryant
anita cochran (duet,anita cochran (duet,anita cochran (duet,anita cochran duet
anita ward,anita ward,anita ward,anita ward
anitta,anitta,anitta,anitta
ann cole,ann cole,ann cole,ann cole
ann peebles,ann peebles,ann peebles,ann peebles
ann wilson,ann wilson,ann wilson,ann wilson
ann-margret,ann-margret,ann-margret,ann margret
anna kendrick,anna kendrick,anna kendrick,anna kendrick
anna king,anna king,anna king,anna king
anna king-bobby byrd,anna king-bobby byrd,anna king-bobby byrd,anna king bobby byrd
anna nalick,anna nalick,anna nalick,anna nalick
annasophia robb,annasophia robb,annasophia robb,annasophia robb
anne hathaway,anne hathaway,anne hathaway,anne hathaway
anne murray,anne murray,anne murray,anne murray
annenmaykantereit,annenmaykantereit,annenmaykantereit,annenmaykantereit
annette,annette,annette,annette
annie lenno,annie lenno,annie lenno,annie lenno
another bad creation,another bad creation,another bad creation,another bad creation
anson williams,anson williams,anson williams,anson williams
ant clemons,ant clemons,ant clemons,ant clemons
ant saunders,ant saunders,ant saunders,ant saunders
anthony,anthony,anthony,anthony
anthony hamilton,anthony hamilton,anthony hamilton,anthony hamilton
anthony newley,anthony newley,anthony newley,anthony newley
antoine dodson,antoine dodson,antoine dodson,antoine dodson
anuel aa,anuel aa,anuel aa,anuel aa
anya marina,anya marina,anya marina,anya marina
anything bo,anything bo,anything bo,anything bo
apache,apache,apache,apache
apocalyptica,apocalyptica,apocalyptica,apocalyptica
apollo,apollo,apollo,apollo
apollo 100,apollo 100,apollo 100,apollo 100
apollonia 6,apollonia 6,apollonia 6,apollonia 6
april,april,april,april
april stevens,april stevens,april stevens,april stevens
april wine,april wine,april wine,april wine
aqua,aqua,aqua,aqua
arcade fire,arcade fire,arcade fire,arcade fire
arcadia,arcadia,arcadia,arcadia
arcangel,arcangel,arcangel,arcangel
archie bell,archie bell,archie bell,archie bell
arctic monkeys,arctic monkeys,arctic monkeys,arctic monkeys
aretha franklin,aretha franklin,aretha franklin,aretha franklin
aretha franklin/whitney houston,aretha franklin/whitney houston,aretha franklin/whitney houston,aretha franklin whitney houston
argent,argent,argent,argent
ari lenno,ari lenno,ari lenno,ari lenno
ariana gr,ariana gr,ariana gr,ariana gr
arianna,arianna,arianna,arianna
arizona zervas,arizona zervas,arizona zervas,arizona zervas
arkade,arkade,arkade,arkade
arlan day,arlan day,arlan day,arlan day
arlo guthrie,arlo guthrie,arlo guthrie,arlo guthrie
armani white,armani white,armani white,armani white
armin van buuren,armin van buuren,armin van buuren,armin van buuren
around the way,around the way,around the way,around the way
arpeggio,arpeggio,arpeggio,arpeggio
arrested development,arrested development,arrested development,arrested development
art garfunkel,art garfunkel,art garfunkel,art garfunkel
art linkletter,art linkletter,art linkletter,art linkletter
art lund,art lund,art lund,art lund
art mooney,art mooney,art mooney,art mooney
art n' soul,art n' soul,art n soul,art n soul
art of noise,art of noise,art of noise,art of noise
artemas,artemas,artemas,artemas
arthur ale,arthur ale,arthur ale,arthur ale
arthur baker,arthur baker,arthur baker,arthur baker
arthur conley,arthur conley,arthur conley,arthur conley
arthur lyman,arthur lyman,arthur lyman,arthur lyman
arthur lyman group,arthur lyman group,arthur lyman group,arthur lyman group
arthur prysock,arthur prysock,arthur prysock,arthur prysock
artie the 1 man party,artie the 1 man party,artie the 1 man party,artie the 1 man party
artists for haiti,artists for haiti,artists for haiti,artists for haiti
artists of then,artists of then,artists of then,artists of then
artists st,artists st,artists st,artists st
artists united against apartheid,artists united against apartheid,artists united against apartheid,artists united against apartheid
ashanti,ashanti,ashanti,ashanti
ashe,ashe,ashe,ashe
asher roth,asher roth,asher roth,asher roth
ashford,ashford,ashford,ashford
ashlee simpson,ashlee simpson,ashlee simpson,ashlee simpson
ashley cooke,ashley cooke,ashley cooke,ashley cooke
ashley mcbryde,ashley mcbryde,ashley mcbryde,ashley mcbryde
ashley parker angel,ashley parker angel,ashley parker angel,ashley parker angel
ashley tisdale,ashley tisdale,ashley tisdale,ashley tisdale
ashton,ashton,ashton,ashton
ashton shepherd,ashton shepherd,ashton shepherd,ashton shepherd
asia,asia,asia,asia
atc,atc,atc,atc
ateez,ateez,ateez,ateez
athenaeum,athenaeum,athenaeum,athenaeum
atlanta rhythm section,atlanta rhythm section,atlanta rhythm section,atlanta rhythm section
atlantic starr,atlantic starr,atlantic starr,atlantic starr
attitudes,attitudes,attitudes,attitudes
auburn,auburn,auburn,auburn
audience,audience,audience,audience
audioslave,audioslave,audioslave,audioslave
audrey arno,audrey arno,audrey arno,audrey arno
augie rios,augie rios,augie rios,augie rios
august alsina,august alsina,august alsina,august alsina
augustana,augustana,augustana,augustana
auli'i cravalho,auli'i cravalho,aulii cravalho,aulii cravalho
aurra,aurra,aurra,aurra
austin mahone,austin mahone,austin mahone,austin mahone
austin roberts,austin roberts,austin roberts,austin roberts
austin taylor,austin taylor,austin taylor,austin taylor
autograph,autograph,autograph,autograph
automatic man,automatic man,automatic man,automatic man
autry inman,autry inman,autry inman,autry inman
ava ma,ava ma,ava ma,ava ma
avant,avant,avant,avant
avenged sevenfold,avenged sevenfold,avenged sevenfold,avenged sevenfold
