chart_name,date,rank,title,artist
hot-100,2025-10-11,1,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
hot-100,2025-10-11,2,Ordinary,Alex Warren
hot-100,2025-10-11,3,Tit For Tat,Tate McRae
hot-100,2025-10-11,4,What I Want,Morgan Wallen Featuring Tate McRae
hot-100,2025-10-11,5,Daisies,Justin Bieber
hot-100,2025-10-11,6,Lose Control,Teddy Swims
hot-100,2025-10-11,7,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
hot-100,2025-10-11,8,I Got Better,Morgan Wallen
hot-100,2025-10-11,9,Love Me Not,Ravyn Lenae
hot-100,2025-10-11,10,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
hot-100,2025-10-11,11,Mutt,Leon Thomas
hot-100,2025-10-11,12,Man I Need,Olivia Dean
hot-100,2025-10-11,13,Die With A Smile,Lady Gaga & Bruno Mars
hot-100,2025-10-11,14,Manchild,Sabrina Carpenter
hot-100,2025-10-11,15,Beautiful Things,Benson Boone
hot-100,2025-10-11,16,A Bar Song (Tipsy),Shaboozey
hot-100,2025-10-11,17,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
hot-100,2025-10-11,18,Folded,Kehlani
hot-100,2025-10-11,19,Just In Case,Morgan Wallen
hot-100,2025-10-11,20,Pink Pony Club,Chappell Roan
hot-100,2025-10-11,21,Undressed,sombr
hot-100,2025-10-11,22,Back To Friends,sombr
hot-100,2025-10-11,23,Good News,Shaboozey
hot-100,2025-10-11,24,Tears,Sabrina Carpenter
hot-100,2025-10-11,25,I'm The Problem,Morgan Wallen
hot-100,2025-10-11,26,Mystical Magical,Benson Boone
hot-100,2025-10-11,27,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
hot-100,2025-10-11,28,Luther,Kendrick Lamar & SZA
hot-100,2025-10-11,29,It Depends,Chris Brown Featuring Bryson Tiller
hot-100,2025-10-11,30,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
hot-100,2025-10-11,31,Free,"Rumi, JINU, EJAE & Andrew Choi"
hot-100,2025-10-11,32,Bottle Rockets,Scotty McCreery & Hootie & The Blowfish
hot-100,2025-10-11,33,Yukon,Justin Bieber
hot-100,2025-10-11,34,Burning Blue,Mariah the Scientist
hot-100,2025-10-11,35,When Did You Get Hot?,Sabrina Carpenter
hot-100,2025-10-11,36,Jealous Type,Doja Cat
hot-100,2025-10-11,37,All The Way,BigXthaPlug Featuring Bailey Zimmerman
hot-100,2025-10-11,38,Back In The Saddle,Luke Combs
hot-100,2025-10-11,39,Happen To Me,Russell Dickerson
hot-100,2025-10-11,40,Sorry I'm Here For Someone Else,Benson Boone
hot-100,2025-10-11,41,Bar None,Jordan Davis
hot-100,2025-10-11,42,Safe,Cardi B Featuring Kehlani
hot-100,2025-10-11,43,ErrTime,Cardi B
hot-100,2025-10-11,44,No Broke Boys,Disco Lines & Tinashe
hot-100,2025-10-11,45,Revolving Door,Tate McRae
hot-100,2025-10-11,46,Sugar On My Tongue,"Tyler, the Creator"
hot-100,2025-10-11,47,Worst Way,Riley Green
hot-100,2025-10-11,48,Hell At Night,BigXthaPlug Featuring Ella Langley
hot-100,2025-10-11,49,12 To 12,sombr
hot-100,2025-10-11,50,Gabriela,KATSEYE
hot-100,2025-10-11,51,House Again,Hudson Westbrook
hot-100,2025-10-11,52,6 Months Later,Megan Moroney
hot-100,2025-10-11,53,Heart Of Stone,Jelly Roll
hot-100,2025-10-11,54,Wildflower,Billie Eilish
hot-100,2025-10-11,55,Dracula,Tame Impala
hot-100,2025-10-11,56,Gorgeous,Doja Cat
hot-100,2025-10-11,57,Outside,Cardi B
hot-100,2025-10-11,58,Somewhere Over Laredo,Lainey Wilson
hot-100,2025-10-11,59,Pretty & Petty,Cardi B
hot-100,2025-10-11,60,Magnet,Cardi B
hot-100,2025-10-11,61,The Dead Dance,Lady Gaga
hot-100,2025-10-11,62,Nobody's Son,Sabrina Carpenter
hot-100,2025-10-11,63,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE"
hot-100,2025-10-11,64,Shot Callin,YoungBoy Never Broke Again
hot-100,2025-10-11,65,Just Keep Watching,Tate McRae
hot-100,2025-10-11,66,Strategy,Twice
hot-100,2025-10-11,67,Better Me For You (Brown Eyes),Max McNown
hot-100,2025-10-11,68,Don't Mind If I Do,Riley Green Featuring Ella Langley
hot-100,2025-10-11,69,Ninja,Young Thug
hot-100,2025-10-11,70,Marlboro Rojo,Fuerza Regida
hot-100,2025-10-11,71,Last One To Know,Gavin Adcock
hot-100,2025-10-11,72,Is It A Crime,Mariah the Scientist & Kali Uchis
hot-100,2025-10-11,73,Nice To Meet You,Myles Smith
hot-100,2025-10-11,74,Eternity,Alex Warren
hot-100,2025-10-11,75,wgft,Gunna Featuring Burna Boy
hot-100,2025-10-11,76,Hello,Cardi B
hot-100,2025-10-11,77,The Subway,Chappell Roan
hot-100,2025-10-11,78,Sienna,The Marias
hot-100,2025-10-11,79,Sparks,Coldplay
hot-100,2025-10-11,80,Camera,Ed Sheeran
hot-100,2025-10-11,81,Darlin',Chase Matthew
hot-100,2025-10-11,82,Breakin' Dishes,Rihanna
hot-100,2025-10-11,83,House Tour,Sabrina Carpenter
hot-100,2025-10-11,84,20 Cigarettes,Morgan Wallen
hot-100,2025-10-11,85,Went Legit,G Herbo
hot-100,2025-10-11,86,The Fall,Cody Johnson
hot-100,2025-10-11,87,Which One,Drake & Central Cee
hot-100,2025-10-11,88,Dead,Cardi B Featuring Summer Walker
hot-100,2025-10-11,89,Bodega Baddie,Cardi B
hot-100,2025-10-11,90,Where Is My Husband!,RAYE
hot-100,2025-10-11,91,Let Down,Radiohead
hot-100,2025-10-11,92,What's Goin On,Cardi B Featuring Lizzo
hot-100,2025-10-11,93,Pick It Up,Cardi B Featuring Selena Gomez
hot-100,2025-10-11,94,What Kinda Man,Parker McCollum
hot-100,2025-10-11,95,Gnarly,KATSEYE
hot-100,2025-10-11,96,Voy A Llevarte Pa PR,Bad Bunny
hot-100,2025-10-11,97,Nice To Each Other,Olivia Dean
hot-100,2025-10-11,98,So Easy (To Fall In Love),Olivia Dean
hot-100,2025-10-11,99,Take Me Thru Dere,"Metro Boomin, Quavo, Breskii & YK NIECE"
hot-100,2025-10-11,100,What An Awesome God,Phil Wickham
hot-100,1958-08-11,1,Poor Little Fool,Ricky Nelson
hot-100,1958-08-11,2,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno
hot-100,1958-08-11,3,Patricia,Perez Prado And His Orchestra
hot-100,1958-08-11,4,Splish Splash,Bobby Darin
hot-100,1958-08-11,5,When,Kalin Twins
hot-100,1958-08-11,6,My True Love,Jack Scott
hot-100,1958-08-11,7,Hard Headed Woman,Elvis Presley With The Jordanaires
hot-100,1958-08-11,8,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels
hot-100,1958-08-11,9,Just A Dream,Jimmy Clanton And His Rockets
hot-100,1958-08-11,9,Willie And The Hand Jive,The Johnny Otis Show
hot-100,1958-08-11,11,Yakety Yak,The Coasters
hot-100,1958-08-11,12,If Dreams Came True,Pat Boone
hot-100,1958-08-11,13,Fever,Peggy Lee
hot-100,1958-08-11,14,Little Star,The Elegants
hot-100,1958-08-11,15,Ginger Bread,Frankie Avalon
hot-100,1958-08-11,16,Everybody Loves A Lover,Doris Day
hot-100,1958-08-11,17,One Summer Night,The Danleers
hot-100,1958-08-11,18,Born Too Late,Poni-Tails
hot-100,1958-08-11,19,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page
hot-100,1958-08-11,20,Endless Sleep,Jody Reynolds
hot-100,1958-08-11,21,Western Movies,The Olympics
hot-100,1958-08-11,22,Guess Things Happen That Way,Johnny Cash And The Tennessee Two
hot-100,1958-08-11,23,For Your Precious Love,Jerry Butler and The Impressions
hot-100,1958-08-11,24,Early In The Morning,The Rinky-Dinks
hot-100,1958-08-11,25,Somebody Touched Me,Buddy Knox with the Rhythm Orchids
hot-100,1958-08-11,26,Are You Really Mine,Jimmie Rodgers
hot-100,1958-08-11,27,Do You Want To Dance,Bobby Freeman
hot-100,1958-08-11,28,A Certain Smile,Johnny Mathis
hot-100,1958-08-11,29,Enchanted Island,The Four Lads
hot-100,1958-08-11,30,Moon Talk,Perry Como
hot-100,1958-08-11,31,What Am I Living For,Chuck Willis
hot-100,1958-08-11,32,Think It Over,The Crickets
hot-100,1958-08-11,33,Rock-in Robin,Bobby Day
hot-100,1958-08-11,34,Bird Dog,The Everly Brothers
hot-100,1958-08-11,35,Stupid Cupid,Connie Francis
hot-100,1958-08-11,36,Blue Blue Day,Don Gibson
hot-100,1958-08-11,37,Volare (Nel Blu Dipinto Di Blu),Dean Martin
hot-100,1958-08-11,38,Chantilly Lace,Big Bopper
hot-100,1958-08-11,39,Angel Baby,Dean Martin
hot-100,1958-08-11,40,Early In The Morning,Buddy Holly
hot-100,1958-08-11,41,Secretly,Jimmie Rodgers
hot-100,1958-08-11,42,Susie Darlin',Robin Luke
hot-100,1958-08-11,43,Devoted To You,The Everly Brothers
hot-100,1958-08-11,44,Betty Lou Got A New Pair Of Shoes,Bobby Freeman
hot-100,1958-08-11,45,Blue Boy,Jim Reeves
hot-100,1958-08-11,46,Come Closer To Me (Acercate Mas),Nat King Cole
hot-100,1958-08-11,47,The Purple People Eater,Sheb Wooley
hot-100,1958-08-11,48,You Cheated,The Slades
hot-100,1958-08-11,49,Come What May,Clyde McPhatter
hot-100,1958-08-11,50,Itchy Twitchy Feeling,Bobby Hendricks
hot-100,1958-08-11,51,Alone With You,Faron Young
hot-100,1958-08-11,52,Summertime Blues,Eddie Cochran
hot-100,1958-08-11,53,Over And Over,Bobby Day
hot-100,1958-08-11,54,Don't Ask Me Why,Elvis Presley With The Jordanaires
hot-100,1958-08-11,55,The Freeze,Tony And Joe
hot-100,1958-08-11,56,Leroy,Jack Scott
hot-100,1958-08-11,57,That's How Much I Love You,Pat Boone
hot-100,1958-08-11,58,Drip Drop,The Drifters
hot-100,1958-08-11,59,"No Chemise, Please",Gerry Granahan
hot-100,1958-08-11,60,I Wonder Why,Dion & The Belmonts
hot-100,1958-08-11,61,Win Your Love For Me,Sam Cooke
hot-100,1958-08-11,62,Crazy Eyes For You,Bobby Hamilton
hot-100,1958-08-11,63,Return To Me,Dean Martin
hot-100,1958-08-11,64,You Need Hands,Eydie Gorme
hot-100,1958-08-11,65,Padre,Toni Arden
hot-100,1958-08-11,66,High School Confidential,Jerry Lee Lewis And His Pumping Piano
hot-100,1958-08-11,67,Lean Jean,Bill Haley And His Comets
hot-100,1958-08-11,68,You're Making A Mistake,The Platters
hot-100,1958-08-11,69,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids
hot-100,1958-08-11,70,Try The Impossible,Lee Andrews And The Hearts
hot-100,1958-08-11,71,Midnight,Paul Anka
hot-100,1958-08-11,72,Little Mary,Fats Domino
hot-100,1958-08-11,73,Tears On My Pillow,Little Anthony And The Imperials
hot-100,1958-08-11,74,Kathy-O,The Diamonds
hot-100,1958-08-11,75,Let's Go Steady For The Summer,The Three G's
hot-100,1958-08-11,76,Just Married,Marty Robbins
hot-100,1958-08-11,77,Jennie Lee,Jan & Arnie
hot-100,1958-08-11,78,Harvey's Got A Girl Friend,Royal Teens
hot-100,1958-08-11,79,She Was Only Seventeen (He Was One Year More),Marty Robbins
hot-100,1958-08-11,80,Happy Years,The Diamonds
hot-100,1958-08-11,81,Young And Warm And Wonderful,Tony Bennett
hot-100,1958-08-11,81,Looking Back,Nat King Cole
hot-100,1958-08-11,83,Jealousy,Kitty Wells
hot-100,1958-08-11,84,You're A Sweetheart,Little Willie John
hot-100,1958-08-11,85,The Wizard,Jimmie Rodgers
hot-100,1958-08-11,86,Moonlight Bay,The Drifters
hot-100,1958-08-11,87,Come In Stranger,Johnny Cash And The Tennessee Two
hot-100,1958-08-11,88,Cerveza,Boots Brown And His Blockbusters
hot-100,1958-08-11,89,The Purple People Eater Meets The Witch Doctor,Joe South
hot-100,1958-08-11,90,Don't Go Home,The Playmates
hot-100,1958-08-11,91,All I Have To Do Is Dream,The Everly Brothers
hot-100,1958-08-11,92,La Paloma,Billy Vaughn And His Orchestra
hot-100,1958-08-11,93,I Believe In You,Robert & Johnny
hot-100,1958-08-11,94,Midnighter,The Champs
hot-100,1958-08-11,95,Chariot Rock,The Champs
hot-100,1958-08-11,96,Down In Virginia,Jimmy Reed
hot-100,1958-08-11,97,Sunday Barbecue,Tennessee Ernie Ford
hot-100,1958-08-11,98,Gotta Have Rain,Eydie Gorme
hot-100,1958-08-11,99,Nothing In The World,Nat King Cole
hot-100,1958-08-11,100,"Baubles, Bangles And Beads",The Kirby Stone Four
hot-100,1958-08-18,1,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno
hot-100,1958-08-18,2,Little Star,The Elegants
hot-100,1958-08-18,3,My True Love,Jack Scott
hot-100,1958-08-18,4,Poor Little Fool,Ricky Nelson
hot-100,1958-08-18,5,Patricia,Perez Prado And His Orchestra
hot-100,1958-08-18,5,Just A Dream,Jimmy Clanton And His Rockets
hot-100,1958-08-18,7,When,Kalin Twins
hot-100,1958-08-18,8,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels
hot-100,1958-08-18,9,Fever,Peggy Lee
hot-100,1958-08-18,10,Splish Splash,Bobby Darin
hot-100,1958-08-18,11,Ginger Bread,Frankie Avalon
hot-100,1958-08-18,12,Willie And The Hand Jive,The Johnny Otis Show
hot-100,1958-08-18,13,Hard Headed Woman,Elvis Presley With The Jordanaires
hot-100,1958-08-18,14,Everybody Loves A Lover,Doris Day
hot-100,1958-08-18,15,If Dreams Came True,Pat Boone
hot-100,1958-08-18,16,Born Too Late,Poni-Tails
hot-100,1958-08-18,17,Bird Dog,The Everly Brothers
hot-100,1958-08-18,18,Yakety Yak,The Coasters
hot-100,1958-08-18,19,Western Movies,The Olympics
hot-100,1958-08-18,20,Volare (Nel Blu Dipinto Di Blu),Dean Martin
hot-100,1958-08-18,21,One Summer Night,The Danleers
hot-100,1958-08-18,22,Somebody Touched Me,Buddy Knox with the Rhythm Orchids
hot-100,1958-08-18,23,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page
hot-100,1958-08-18,24,Are You Really Mine,Jimmie Rodgers
hot-100,1958-08-18,25,Devoted To You,The Everly Brothers
hot-100,1958-08-18,26,Early In The Morning,The Rinky-Dinks
hot-100,1958-08-18,27,Susie Darlin',Robin Luke
hot-100,1958-08-18,28,Think It Over,The Crickets
hot-100,1958-08-18,29,Chantilly Lace,Big Bopper
hot-100,1958-08-18,30,A Certain Smile,Johnny Mathis
hot-100,1958-08-18,31,Stupid Cupid,Connie Francis
hot-100,1958-08-18,32,Endless Sleep,Jody Reynolds
hot-100,1958-08-18,33,For Your Precious Love,Jerry Butler and The Impressions
hot-100,1958-08-18,34,Moon Talk,Perry Como
hot-100,1958-08-18,35,Blue Blue Day,Don Gibson
hot-100,1958-08-18,36,Enchanted Island,The Four Lads
hot-100,1958-08-18,37,Early In The Morning,Buddy Holly
hot-100,1958-08-18,38,Rock-in Robin,Bobby Day
hot-100,1958-08-18,39,Guess Things Happen That Way,Johnny Cash And The Tennessee Two
hot-100,1958-08-18,40,Angel Baby,Dean Martin
hot-100,1958-08-18,41,Itchy Twitchy Feeling,Bobby Hendricks
hot-100,1958-08-18,42,What Am I Living For,Chuck Willis
hot-100,1958-08-18,43,Do You Want To Dance,Bobby Freeman
hot-100,1958-08-18,44,Summertime Blues,Eddie Cochran
hot-100,1958-08-18,45,That's How Much I Love You,Pat Boone
hot-100,1958-08-18,46,Betty Lou Got A New Pair Of Shoes,Bobby Freeman
hot-100,1958-08-18,47,La Paloma,Billy Vaughn And His Orchestra
hot-100,1958-08-18,48,Come Closer To Me (Acercate Mas),Nat King Cole
hot-100,1958-08-18,49,You Cheated,The Slades
hot-100,1958-08-18,50,The Freeze,Tony And Joe
hot-100,1958-08-18,51,She Was Only Seventeen (He Was One Year More),Marty Robbins
hot-100,1958-08-18,52,How The Time Flies,Jerry Wallace
hot-100,1958-08-18,53,Come What May,Clyde McPhatter
hot-100,1958-08-18,54,Win Your Love For Me,Sam Cooke
hot-100,1958-08-18,55,Don't Ask Me Why,Elvis Presley With The Jordanaires
hot-100,1958-08-18,56,Kathy-O,The Diamonds
hot-100,1958-08-18,57,Over And Over,Bobby Day
hot-100,1958-08-18,58,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids
hot-100,1958-08-18,59,"Baubles, Bangles And Beads",The Kirby Stone Four
hot-100,1958-08-18,60,Borrowed Dreams,Bobby Helms
hot-100,1958-08-18,61,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker
hot-100,1958-08-18,62,Crazy Eyes For You,Bobby Hamilton
hot-100,1958-08-18,63,Tears On My Pillow,Little Anthony And The Imperials
hot-100,1958-08-18,64,The Wizard,Jimmie Rodgers
hot-100,1958-08-18,65,Blue Boy,Jim Reeves
hot-100,1958-08-18,66,You're A Sweetheart,Little Willie John
hot-100,1958-08-18,67,Near You,Roger Williams
hot-100,1958-08-18,68,Alone With You,Faron Young
hot-100,1958-08-18,69,Midnight,Paul Anka
hot-100,1958-08-18,70,"No Chemise, Please",Gerry Granahan
hot-100,1958-08-18,71,Padre,Toni Arden
hot-100,1958-08-18,71,Lazy Summer Night,The Four Preps
hot-100,1958-08-18,73,Happy Years,The Diamonds
hot-100,1958-08-18,74,"Summertime, Summertime",The Jamies
hot-100,1958-08-18,75,Just Like In The Movies,The Upbeats
hot-100,1958-08-18,76,Straighten Up & Fly Right,DeJohn Sisters
hot-100,1958-08-18,77,Secretly,Jimmie Rodgers
hot-100,1958-08-18,78,Chariot Rock,The Champs
hot-100,1958-08-18,79,Delicious!,Jim Backus & Friend
hot-100,1958-08-18,80,Let's Go Steady For The Summer,The Three G's
hot-100,1958-08-18,81,Gas Money,Jan & Arnie
hot-100,1958-08-18,81,The Purple People Eater,Sheb Wooley
hot-100,1958-08-18,83,Cerveza,Boots Brown And His Blockbusters
hot-100,1958-08-18,84,Blip Blop,Bill Doggett
hot-100,1958-08-18,85,You're Making A Mistake,The Platters
hot-100,1958-08-18,86,Harvey's Got A Girl Friend,Royal Teens
hot-100,1958-08-18,87,Gotta Have Rain,Eydie Gorme
hot-100,1958-08-18,88,Dance Everyone Dance,Betty Madigan
hot-100,1958-08-18,89,Devotion,Janice Harper
hot-100,1958-08-18,90,My Life,Chuck Willis
hot-100,1958-08-18,91,Down The Aisle Of Love,The Quin-Tones
hot-100,1958-08-18,92,Return To Me,Dean Martin
hot-100,1958-08-18,93,Down In Virginia,Jimmy Reed
hot-100,1958-08-18,94,Fire Of Love,Jody Reynolds
hot-100,1958-08-18,95,Put A Ring On My Finger,Les Paul And Mary Ford
hot-100,1958-08-18,96,It's All In The Game,Tommy Edwards
hot-100,1958-08-18,97,Ma Ma Ma Marie,The Gaylords
hot-100,1958-08-18,98,Where The Blue Of The Night,Tommy Mara
hot-100,1958-08-18,99,Who Are They To Say,The DeCastro Sisters
hot-100,1958-08-18,100,Going To Chicago Blues,Count Basie & His Orchestra
hot-100,1958-08-25,1,Little Star,The Elegants
hot-100,1958-08-25,2,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno
hot-100,1958-08-25,3,Bird Dog,The Everly Brothers
hot-100,1958-08-25,4,Just A Dream,Jimmy Clanton And His Rockets
hot-100,1958-08-25,5,My True Love,Jack Scott
hot-100,1958-08-25,6,Poor Little Fool,Ricky Nelson
hot-100,1958-08-25,7,Patricia,Perez Prado And His Orchestra
hot-100,1958-08-25,8,Born Too Late,Poni-Tails
hot-100,1958-08-25,8,Fever,Peggy Lee
hot-100,1958-08-25,10,When,Kalin Twins
hot-100,1958-08-25,11,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels
hot-100,1958-08-25,12,Willie And The Hand Jive,The Johnny Otis Show
hot-100,1958-08-25,13,Western Movies,The Olympics
hot-100,1958-08-25,14,Everybody Loves A Lover,Doris Day
hot-100,1958-08-25,15,Devoted To You,The Everly Brothers
hot-100,1958-08-25,16,Splish Splash,Bobby Darin
hot-100,1958-08-25,17,Ginger Bread,Frankie Avalon
hot-100,1958-08-25,18,If Dreams Came True,Pat Boone
hot-100,1958-08-25,19,Volare (Nel Blu Dipinto Di Blu),Dean Martin
hot-100,1958-08-25,20,Are You Really Mine,Jimmie Rodgers
hot-100,1958-08-25,21,Hard Headed Woman,Elvis Presley With The Jordanaires
hot-100,1958-08-25,22,Stupid Cupid,Connie Francis
hot-100,1958-08-25,23,Susie Darlin',Robin Luke
hot-100,1958-08-25,24,Summertime Blues,Eddie Cochran
hot-100,1958-08-25,25,Rock-in Robin,Bobby Day
hot-100,1958-08-25,26,Tears On My Pillow,Little Anthony And The Imperials
hot-100,1958-08-25,27,One Summer Night,The Danleers
hot-100,1958-08-25,28,Somebody Touched Me,Buddy Knox with the Rhythm Orchids
hot-100,1958-08-25,29,Early In The Morning,The Rinky-Dinks
hot-100,1958-08-25,30,Chantilly Lace,Big Bopper
hot-100,1958-08-25,31,Think It Over,The Crickets
hot-100,1958-08-25,32,Early In The Morning,Buddy Holly
hot-100,1958-08-25,33,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page
hot-100,1958-08-25,34,A Certain Smile,Johnny Mathis
hot-100,1958-08-25,35,Yakety Yak,The Coasters
hot-100,1958-08-25,36,Moon Talk,Perry Como
hot-100,1958-08-25,37,Betty Lou Got A New Pair Of Shoes,Bobby Freeman
hot-100,1958-08-25,38,She Was Only Seventeen (He Was One Year More),Marty Robbins
hot-100,1958-08-25,39,La Paloma,Billy Vaughn And His Orchestra
hot-100,1958-08-25,40,It's All In The Game,Tommy Edwards
hot-100,1958-08-25,41,Over And Over,Bobby Day
hot-100,1958-08-25,42,Itchy Twitchy Feeling,Bobby Hendricks
hot-100,1958-08-25,43,Blue Blue Day,Don Gibson
hot-100,1958-08-25,44,Lazy Summer Night,The Four Preps
hot-100,1958-08-25,45,Win Your Love For Me,Sam Cooke
hot-100,1958-08-25,46,For Your Precious Love,Jerry Butler and The Impressions
hot-100,1958-08-25,47,Do You Want To Dance,Bobby Freeman
hot-100,1958-08-25,48,Enchanted Island,The Four Lads
hot-100,1958-08-25,49,How The Time Flies,Jerry Wallace
hot-100,1958-08-25,50,What Am I Living For,Chuck Willis
hot-100,1958-08-25,51,The Wizard,Jimmie Rodgers
hot-100,1958-08-25,52,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids
hot-100,1958-08-25,53,Kathy-O,The Diamonds
hot-100,1958-08-25,54,Don't Ask Me Why,Elvis Presley With The Jordanaires
hot-100,1958-08-25,55,Guess Things Happen That Way,Johnny Cash And The Tennessee Two
hot-100,1958-08-25,56,Come Closer To Me (Acercate Mas),Nat King Cole
hot-100,1958-08-25,57,Carol,Chuck Berry
hot-100,1958-08-25,58,The Freeze,Tony And Joe
hot-100,1958-08-25,59,Put A Ring On My Finger,Les Paul And Mary Ford
hot-100,1958-08-25,60,Angel Baby,Dean Martin
hot-100,1958-08-25,61,"Summertime, Summertime",The Jamies
hot-100,1958-08-25,62,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two
hot-100,1958-08-25,63,Padre,Toni Arden
hot-100,1958-08-25,64,That's How Much I Love You,Pat Boone
hot-100,1958-08-25,65,When Will I Know,George Hamilton IV
hot-100,1958-08-25,66,Gotta Have Rain,Eydie Gorme
hot-100,1958-08-25,67,Cerveza,Boots Brown And His Blockbusters
hot-100,1958-08-25,68,Dance Everyone Dance,Betty Madigan
hot-100,1958-08-25,69,Chariot Rock,The Champs
hot-100,1958-08-25,70,Alone With You,Faron Young
hot-100,1958-08-25,71,Endless Sleep,Jody Reynolds
hot-100,1958-08-25,72,City Lights,Ray Price
hot-100,1958-08-25,73,Straighten Up & Fly Right,DeJohn Sisters
hot-100,1958-08-25,74,Count Every Star,The Rivieras
hot-100,1958-08-25,75,Blue Boy,Jim Reeves
hot-100,1958-08-25,76,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker
hot-100,1958-08-25,77,Happy Years,The Diamonds
hot-100,1958-08-25,78,The Green Mosquito,The Tune Rockers
hot-100,1958-08-25,79,Midnight,Paul Anka
hot-100,1958-08-25,80,Strange Are The Ways Of Love,Gogi Grant
hot-100,1958-08-25,81,Prisoner's Song,Warren Storm
hot-100,1958-08-25,82,Topsy II,Cozy Cole
hot-100,1958-08-25,83,Leroy,Jack Scott
hot-100,1958-08-25,84,Borrowed Dreams,Bobby Helms
hot-100,1958-08-25,85,Drip Drop,The Drifters
hot-100,1958-08-25,86,Devotion,Janice Harper
hot-100,1958-08-25,87,Down The Aisle Of Love,The Quin-Tones
hot-100,1958-08-25,88,Near You,Roger Williams
hot-100,1958-08-25,89,My Life,Chuck Willis
hot-100,1958-08-25,90,Fire Of Love,Jody Reynolds
hot-100,1958-08-25,91,Ramrod,Duane Eddy His Twangy Guitar And The Rebels
hot-100,1958-08-25,92,Just Like In The Movies,The Upbeats
hot-100,1958-08-25,93,The Purple People Eater,Sheb Wooley
hot-100,1958-08-25,94,You Cheated,The Shields
hot-100,1958-08-25,95,No One Knows,Dion & The Belmonts
hot-100,1958-08-25,96,Return To Me,Dean Martin
hot-100,1958-08-25,97,Little Brass Band,David Seville
hot-100,1958-08-25,98,You're A Sweetheart,Little Willie John
hot-100,1958-08-25,99,You Cheated,The Slades
hot-100,1958-08-25,100,Treasure Of Your Love,Eileen Rodgers
hot-100,1958-09-01,1,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno
hot-100,1958-09-01,2,Little Star,The Elegants
hot-100,1958-09-01,3,Bird Dog,The Everly Brothers
hot-100,1958-09-01,4,Just A Dream,Jimmy Clanton And His Rockets
hot-100,1958-09-01,5,Poor Little Fool,Ricky Nelson
hot-100,1958-09-01,6,Patricia,Perez Prado And His Orchestra
hot-100,1958-09-01,7,My True Love,Jack Scott
hot-100,1958-09-01,8,When,Kalin Twins
hot-100,1958-09-01,9,Ginger Bread,Frankie Avalon
hot-100,1958-09-01,10,Are You Really Mine,Jimmie Rodgers
hot-100,1958-09-01,11,Born Too Late,Poni-Tails
hot-100,1958-09-01,12,Fever,Peggy Lee
hot-100,1958-09-01,13,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels
hot-100,1958-09-01,14,Western Movies,The Olympics
hot-100,1958-09-01,15,Volare (Nel Blu Dipinto Di Blu),Dean Martin
hot-100,1958-09-01,16,Willie And The Hand Jive,The Johnny Otis Show
hot-100,1958-09-01,17,Rock-in Robin,Bobby Day
hot-100,1958-09-01,18,Splish Splash,Bobby Darin
hot-100,1958-09-01,19,Everybody Loves A Lover,Doris Day
hot-100,1958-09-01,20,Summertime Blues,Eddie Cochran
hot-100,1958-09-01,21,Devoted To You,The Everly Brothers
hot-100,1958-09-01,22,It's All In The Game,Tommy Edwards
hot-100,1958-09-01,23,If Dreams Came True,Pat Boone
hot-100,1958-09-01,24,Tears On My Pillow,Little Anthony And The Imperials
hot-100,1958-09-01,25,Stupid Cupid,Connie Francis
hot-100,1958-09-01,26,Hard Headed Woman,Elvis Presley With The Jordanaires
hot-100,1958-09-01,27,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page
hot-100,1958-09-01,28,Somebody Touched Me,Buddy Knox with the Rhythm Orchids
hot-100,1958-09-01,29,Susie Darlin',Robin Luke
hot-100,1958-09-01,30,Moon Talk,Perry Como
hot-100,1958-09-01,31,La Paloma,Billy Vaughn And His Orchestra
