artist,l1,l2,l3,matched_name,spotify_artist_id,genres
the overl,the overl,the overl,the overl,The Overlords,6ELVovqTfNIJcqdPq0CsXR,psytrance;ebm
the pack,the pack,the pack,the pack,The Pack,5M6GE2n46o0qBIyGXtzdQz,hyphy
the packers,the packers,the packers,the packers,The 6 Packers,6qRrEaglMldS2Y9YQX8bFF,
the parade,the parade,the parade,the parade,Mark Warnow & The Hit Parade Orchestra,0EoWr6e19uwZDzQl1oK9yr,
the paradons,the paradons,the paradons,the paradons,The Paradons,3rZKnhYrwfRs3wluf9vnsO,doo-wop
the paragons,the paragons,the paragons,the paragons,The Paragons,5sCZ2Gc3nZaE3Cav8WG7WG,rocksteady;reggae;ska;roots reggae;doo-wop;lovers rock
the paris sisters,the paris sisters,the paris sisters,the paris sisters,The Paris Sisters,0SDMI2Gkjubw3ol5p5fKtX,doo-wop
the parkays,the parkays,the parkays,the parkays,,,
the parliaments,the parliaments,the parliaments,the parliaments,The Parliaments,1Ve5PoI7i5jIIP1xudo6AB,northern soul
the partridge family starring shirley jones,the partridge family starring shirley jones,the partridge family starring shirley jones,the partridge family starring shirley jones,,,
the party,the party,the party,the party,The Last Dinner Party,5SHgclK1ZpTdfdAmXW7J6s,
the pasadenas,the pasadenas,the pasadenas,the pasadenas,The Pasadenas,6lr9AruL30Dwl82fDODq9u,
the passions,the passions,the passions,the passions,The Passions,6emLiLQsxkbmQMs0Bn51h3,new wave;post-punk
the pastel si,the pastel si,the pastel si,the pastel si,The Pastel Six,22LYijsvdEmMGsNIBObsg2,surf rock;exotica
the peace choir,the peace choir,the peace choir,the peace choir,The Shalom Church City Of Peace Mass Choir,2PrDY17f94TfOgyF9hVyj5,
the peanut butter conspiracy,the peanut butter conspiracy,the peanut butter conspiracy,the peanut butter conspiracy,The Peanut Butter Conspiracy,1mUgTcokhM7BSqp8mXhy8U,psychedelic rock;acid rock;baroque pop
the peels,the peels,the peels,the peels,The Orange Peels,1z6uUW1Jkivvs7SD3M2FBf,power pop;jangle pop
the pentagons,the pentagons,the pentagons,the pentagons,The Pentagons,3JCb6m9WQm824cTsSiRCqz,doo-wop;northern soul
the people's choice,the people's choice,the peoples choice,the peoples choice,The People's Choice - Paul Simpson Mix,6yv8Gt63XlU8gNyEaxdGxM,philly soul
