artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,genre_main,inferred_from,confidence
frank sinatra,frank sinatra,frank sinatra,frank sinatra,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,adult standards;big band;christmas;jazz;swing music;vocal jazz,Jazz,direct,1.0
frank sinatra,frank sinatra,frank sinatra,frank sinatra,frank sinatra,1Mxqyy3pSjf8kZZL4QVxS0,adult standards;big band;christmas;jazz;swing music;vocal jazz,Jazz,direct,1.0
frank slay,frank slay,frank slay,frank slay,Frank Slay and His Orchestra,7byMbt3f91PJnoyL9KPhCP,,,none,0.0
frank stallone,frank stallone,frank stallone,frank stallone,Frank Stallone,3BucZwouCkpiGi2UxqfWn9,yacht rock,Rock,direct,1.0
frank zappa,frank zappa,frank zappa,frank zappa,Frank Zappa,6ra4GIOgCZQZMOaUECftGN,art rock;avant-garde;experimental;jazz fusion;progressive rock;psychedelic rock,Jazz,direct,1.0
franke,franke,franke,franke,Donavon Frankenreiter,2IAZ2xX1Ovh5jxhBWE7wda,surf rock,Rock,direct,1.0
frankee,frankee,frankee,frankee,Frankee,01U4snBkRWq0FBrK3P1mwM,,,none,0.0
frankie avalon,frankie avalon,frankie avalon,frankie avalon,Frankie Avalon,5zNOI87gG4RttFmYAZWaxQ,doo-wop,Other,direct,1.0
frankie ballard,frankie ballard,frankie ballard,frankie ballard,Frankie Ballard,0dvKgSdNB2U1gfp6ZcekYi,acoustic country;country,Country,direct,1.0
frankie calen,frankie calen,frankie calen,frankie calen,,,,,none,0.0
frankie ford,frankie ford,frankie ford,frankie ford,Frankie Ford,7nkIxnGUsFXm89JX9ijD4p,doo-wop;rockabilly,Rock,direct,1.0
frankie goes to hollywood,frankie goes to hollywood,frankie goes to hollywood,frankie goes to hollywood,Frankie Goes To Hollywood,1mZu3rO7qSD09GdDpePHhY,hi-nrg;synthpop,Pop,direct,1.0
frankie j,frankie j,frankie j,frankie j,Frankie J,3sMYEBy0CZFxedcnm9i9hf,,,none,0.0
frankie karl,frankie karl,frankie karl,frankie karl,Frankie Karl & The Dreams,6XC4S8ejEelRZQRwwXrx47,,,none,0.0
frankie laine,frankie laine,frankie laine,frankie laine,Frankie Laine,3cgO5CdhEHKMxldjZlP5ix,adult standards,Other,direct,1.0
frankie lymon,frankie lymon,frankie lymon,frankie lymon,Frankie Lymon,2KMQz6s6MNRr4bxI8EQdRk,doo-wop,Other,direct,1.0
frankie miller,frankie miller,frankie miller,frankie miller,Frankie Miller,2BSGptj55ZjV9ss2D17Hj6,,,none,0.0
frankie smith,frankie smith,frankie smith,frankie smith,Frankie Smith,0CcGsPdBvdYS0JuxrTvTIF,,,none,0.0
frankie valli,frankie valli,frankie valli,frankie valli,Frankie Valli,3CDKmzJu6uwEGnPLLZffpD,,,none,0.0
frannie golde,frannie golde,frannie golde,frannie golde,Frannie Golde,4s1v0vVPSUCpqCa5JECA6p,aor;yacht rock,Rock,direct,1.0
franz ferdin,franz ferdin,franz ferdin,franz ferdin,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,indie rock,Rock,direct,1.0
freak nasty,freak nasty,freak nasty,freak nasty,Freak Nasty,0LthCv77K8NqLKr8B6266a,miami bass;new orleans bounce,Other,direct,1.0
fred darian,fred darian,fred darian,fred darian,Freddy Darian,3c8laeKm8cejmK3bcRZq5B,doo-wop,Other,direct,1.0
fred hughes,fred hughes,fred hughes,fred hughes,Fred Hughes,6pNfWWILVcCkm6c0bbovMD,northern soul,RnB,direct,1.0
fred knoblock,fred knoblock,fred knoblock,fred knoblock,Fred Knoblock,3CSygLJ52E0LO7m8AUS4im,aor;yacht rock,Rock,direct,1.0
fred parris,fred parris,fred parris,fred parris,Fred Parris and The Satins,1xi2K78gdQleSqpqx4MjJo,aor;yacht rock,Rock,direct,1.0
fred schneider,fred schneider,fred schneider,fred schneider,Fred Schneider,7HWVWTbgJBXqBX6Jd4AvzJ,,,none,0.0
fred wesley,fred wesley,fred wesley,fred wesley,Fred Wesley,2uE66NiUti6Wpz90SD4eam,acid jazz;funk;jazz funk,RnB,direct,1.0
