artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,genre_main,inferred_from,confidence
$not,$not,$not,not,RAC,4AGwPDdh1y8hochNzHy5HC,,,none,0.0
$uicideboy$,$uicideboy$,$uicideboy$,uicideboy,$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,cloud rap;emo rap;horrorcore;trap metal;underground hip hop,HipHop,direct,1.0
'til tuesday,'til tuesday,til tuesday,til tuesday,'Til Tuesday,1L0y9srZMyh9XUnYGv37IP,new wave,Other,direct,1.0
(+44),,,,RAC,4AGwPDdh1y8hochNzHy5HC,,,none,0.0
(the preacher) bobby womack,bobby womack,bobby womack,bobby womack,Bobby Womack,0vqkz1b2qBkoYrGMj2CUWq,classic soul;soul,RnB,direct,1.0
*nsync,*nsync,*nsync,nsync,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,,,none,0.0
1 of the girls,1 of the girls,1 of the girls,1 of the girls,"4 Married Girls, 1 Unmarried & Men of The Queen Mother's Village",0tP1Xt8AgsyyGbfQwBRFHD,,,none,0.0
10,10,10,10,RAC,4AGwPDdh1y8hochNzHy5HC,,,none,0.0
10 years,10 years,10 years,10 years,10 Years,0REMf7H0VP6DwfZ9MbuWph,alternative metal;post-grunge,Rock,direct,1.0
100 proof aged in soul,100 proof aged in soul,100 proof aged in soul,100 proof aged in soul,100 Proof Aged In Soul,10i8e4CH1K0Nf4XECvAcTd,northern soul,RnB,direct,1.0
100 strings,100 strings,100 strings,100 strings,Sounds of a 1000 Strings,67wAUx5HHH9VVII5QMRSSJ,,,none,0.0
10cc,10cc,10cc,10cc,10cc,6i6WlGzQtXtz7GcC5H5st5,art rock;glam rock;yacht rock,Rock,direct,1.0
112,112,112,112,Voskresenie,2Sf2VjK8vpOU9i9VfshmO7,,,none,0.0
12 gauge,12 gauge,12 gauge,12 gauge,12 Gauge,19dL0fni8Il6amPuGzxkmn,miami bass,Other,direct,1.0
1910 fruitgum co.,1910 fruitgum co.,1910 fruitgum co.,1910 fruitgum co,1910 Fruitgum Company,17vIaBTHJOVxnU4v7t1DiY,bubblegum pop,Pop,direct,1.0
1927,1927,1927,1927,1927,7uZbOLlVQNbLVvKdGRk4VZ,,,none,0.0
2 chainz,2 chainz,2 chainz,2 chainz,2 Chainz,17lzZA2AlOHwCwFALHttmp,rap;southern hip hop,HipHop,direct,1.0
2 hyped brothers,2 hyped brothers,2 hyped brothers,2 hyped brothers,2 Hyped Brothers & A Dog,4uuHzqQ4a2GT3jFsAlZSip,baltimore club;chicago house;hip house;miami bass;philly club,Electronic,direct,1.0
2 in a room,2 in a room,2 in a room,2 in a room,2 In A Room,2029eJThczywCgnjE33s33,ballroom vogue;chicago house;hip house;latin house,Electronic,direct,1.0
2 of clubs,2 of clubs,2 of clubs,2 of clubs,2 of Clubs,4Qtg3TYpqjQrvWDjB0KYpa,,,none,0.0
2 pistols,2 pistols,2 pistols,2 pistols,2 Pistols,7JBMlJmJpOk87BZTdbYSHD,,,none,0.0
2 unlimited,2 unlimited,2 unlimited,2 unlimited,2 Unlimited,18JD8DVlD1fakDAw7E9LFC,eurodance;hip house,Electronic,direct,1.0
20 fingers,20 fingers,20 fingers,20 fingers,20 Fingers,0OarfYzJPCi3lAVZ4nhTTd,eurodance,Other,direct,1.0
21 savage,21 savage,21 savage,21 savage,21 Savage,1URnnhqYAYcrqrcwql10ft,,,none,0.0
24kgoldn,24kgoldn,24kgoldn,24kgoldn,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,,,none,0.0
2gether,2gether,2gether,2gether,Rich2Gether,7JEKwHEyxkl7GMIZmTVllb,,,none,0.0
2nd ii none,2nd ii none,2nd ii none,2nd ii none,2nd II None,1rlHVdoyfG6pQkzcMWI4dr,g-funk;gangster rap;old school hip hop;west coast hip hop,HipHop,direct,1.0
2nu,2nu,2nu,2nu,Voskresenie,2Sf2VjK8vpOU9i9VfshmO7,,,none,0.0
2pac,2pac,2pac,2pac,2Pac,1ZwdS5xdxEREPySFridCfh,g-funk;gangster rap;hip hop;old school hip hop;west coast hip hop,HipHop,direct,1.0
2pac + outlawz,2pac + outlawz,2pac + outlawz,2pac outlawz,2 Pac's Outlawz,3R0dLbQvI6x16t2bLaE9wE,,,none,0.0
2pac duet,2pac duet,2pac duet,2pac duet,,,,,none,0.0
3 doors down,3 doors down,3 doors down,3 doors down,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,post-grunge,Rock,direct,1.0
3 man isl,3 man isl,3 man isl,3 man isl,,,,,none,0.0
30 seconds to mars,30 seconds to mars,30 seconds to mars,30 seconds to mars,,,,,none,0.0
310babii,310babii,310babii,310babii,310babii,4VCriUU9CsPnUvoAsxVk1p,,,none,0.0
311,311,311,311,Artist 12,69zCl5K7XeVrbgvwviLSzB,,,none,0.0
38 special,38 special,38 special,38 special,38 Special,3zXw2Eh96iTT51pytzHdZi,aor;classic rock;southern rock,Rock,direct,1.0
3lw,3lw,3lw,3lw,Dj Denilson,2WRYEbVVT8fmNn6n3GqotW,,,none,0.0
3oh!3,3oh!3,3oh!3,3oh 3,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,,,none,0.0
3rd bass,3rd bass,3rd bass,3rd bass,3rd Bass,6EFL6smxzRtpwlQvZFldUc,east coast hip hop;old school hip hop,HipHop,direct,1.0
3rd party,3rd party,3rd party,3rd party,3rd Party,0vXXFoBFr2mOOGfLqeee2D,,,none,0.0
3t,3t,3t,3t,T3R Elemento,34nbQa7Hug9DYkRJpfKNFv,banda;corrido;corridos bélicos;corridos tumbados;música mexicana;norteño;sad sierreño;sierreño,Latin,direct,1.0
4 by four,4 by four,4 by four,4 by four,,,,,none,0.0
4 non blondes,4 non blondes,4 non blondes,4 non blondes,4 Non Blondes,0Je74SitssvJg1w4Ra2EK7,,,none,0.0
4 the cause,4 the cause,4 the cause,4 the cause,4 The Cause,40VJLVIiJmgGAPogrC9dQd,,,none,0.0
4*town (from disney,4*town (from disney,4*town (from disney,4 town from disney,4*TOWN (From Disney and Pixar’s Turning Red),7jLpPyJ5gQxCvwiBsUfFu6,,,none,0.0
4.0,4.0,4.0,4 0,S4nri0,0oV5Z0bl2CEOKxeN8FZHi7,brazilian phonk;phonk,Other,direct,1.0
42 dugg,42 dugg,42 dugg,42 dugg,42 Dugg,45gHcnDnMC15sgx3VL7ROG,,,none,0.0
49-ers,49-ers,49-ers,49 ers,The 49ers,1WWJxH3nMA5AoEnghYv1ij,jazz rap,HipHop,direct,1.0
4batz,4batz,4batz,4batz,4batz,5fi7lIgJGH3RgUpJYcffQ7,,,none,0.0
4pm,4pm,4pm,4pm,4 P.M.,5t5SLR66rZDxwuVHTSATOt,,,none,0.0
5 satins,5 satins,5 satins,5 satins,The 5 Satins founder and lead singer Fred Parris,2TXUdUAknn0ZPiWsvIWpFc,,,none,0.0
5 seconds of summer,5 seconds of summer,5 seconds of summer,5 seconds of summer,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,,,none,0.0
5 stairsteps,5 stairsteps,5 stairsteps,5 stairsteps,The 5 Stairsteps,1L5mHg10huszFz2rzmxU5Y,northern soul,RnB,direct,1.0
50 cent,50 cent,50 cent,50 cent,50 Cent,3q7HBObVc0L8jNeTe5Gofh,east coast hip hop;old school hip hop,HipHop,direct,1.0
5000 volts,5000 volts,5000 volts,5000 volts,5000 Volts,4U9FglMGShioV0yV8qcNFd,disco,Other,direct,1.0
504 boyz,504 boyz,504 boyz,504 boyz,504 Boyz,5ILgJERmX20rZuVVDQ7z5P,new orleans bounce;southern hip hop,HipHop,direct,1.0
69 boyz,69 boyz,69 boyz,69 boyz,69 Boyz,7qeBsFLeNEuzrDhDMbnDwF,miami bass,Other,direct,1.0
6i,6i,6i,6i,Artist Invisible,1pCnl9PbA9JaffWHMiSXuT,,,none,0.0
6lack,6lack,6lack,6lack,6LACK,4IVAbR2w4JJNJDDRFP3E83,,,none,0.0
7 mile,7 mile,7 mile,7 mile,7MILE WB,6VR2o974Y8H5dpHaFRb6Co,,,none,0.0
702,702,702,702,Voskresenie,2Sf2VjK8vpOU9i9VfshmO7,,,none,0.0
707,707,707,707,https://open.spotify.com/artist/0eq7vT4TD3rwEJpqzVzouk?si=ClextRf8Sve8hjs66yPS6w,3o1h7zcPeWXFGkGE4er5HD,,,none,0.0
9.9,9.9,9.9,9 9,Tech N9ne,6UBA15slIuadJ8h2lPRPos,horrorcore,Other,direct,1.0
95 south,95 south,95 south,95 south,95 South,3vjd6YHdWCqO3MWaYbxDf0,bass music;miami bass,Other,direct,1.0
98 degrees,98 degrees,98 degrees,98 degrees,Joe & 98 Degrees,7aEqjTBeH2YseqpfRUKeTZ,,,none,0.0
<a href=https://www.billboard.com/artist/lil-nas-,<a href=https://www.billboard.com/artist/lil-nas-,<a href=https://www.billboard.com/artist/lil-nas-,a href https www billboard com artist lil nas,,,,,none,0.0
? (question mark),?,?,,Question Mark,41REvYlvUU3FCP5f65Jllh,hard house,Electronic,direct,1.0
a,a,a,a,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop,Pop,direct,1.0
a boogie wit da hoodie,a boogie wit da hoodie,a boogie wit da hoodie,a boogie wit da hoodie,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,melodic rap,HipHop,direct,1.0
a few good men,a few good men,a few good men,a few good men,A Few Good Men Music Ministries,1rm6v5rwa5UbLc1owZaY0r,african gospel;christian country;gospel;southern gospel,Gospel,direct,1.0
a flock of seagulls,a flock of seagulls,a flock of seagulls,a flock of seagulls,A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,new wave;synthpop,Pop,direct,1.0
a great big world,a great big world,a great big world,a great big world,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,,,none,0.0
a perfect circle,a perfect circle,a perfect circle,a perfect circle,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,alternative metal,Metal,direct,1.0
a r rahman,a r rahman,a r rahman,a r rahman,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,bollywood;desi;hindi pop;kollywood;sufi;tamil pop,Pop,direct,1.0
a rocket to the moon,a rocket to the moon,a rocket to the moon,a rocket to the moon,A Rocket To The Moon,1NU9Em6e8dDo36Js6nEo3t,pop punk,Rock,direct,1.0
a taste of honey,a taste of honey,a taste of honey,a taste of honey,A Taste Of Honey,1ii6e2pv8VIRwnTER71rMl,boogie;disco,Other,direct,1.0
a thous,a thous,a thous,a thous,A Thousand Horses,55RI2GNCfyXr0f14uIdhwd,country;country rock;southern rock,Rock,direct,1.0
a tribe called quest,a tribe called quest,a tribe called quest,a tribe called quest,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,east coast hip hop;hip hop;jazz rap;old school hip hop,HipHop,direct,1.0
a$ap ferg,a$ap ferg,a$ap ferg,a ap ferg,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,rap,HipHop,direct,1.0
a$ap rocky,a$ap rocky,a$ap rocky,a ap rocky,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,rap,HipHop,direct,1.0
a'me lorain,a'me lorain,ame lorain,ame lorain,Ame Lorain,3M33n8CbYbLJDeAVobnKnS,,,none,0.0
a*teens,a*teens,a*teens,a teens,A*Teens,5zMgvYBz4AW0gFyPtg7fR9,,,none,0.0
a+,a+,a+,a,2Pac,1ZwdS5xdxEREPySFridCfh,g-funk;gangster rap;hip hop;old school hip hop;west coast hip hop,HipHop,direct,1.0
a-ha,a-ha,a-ha,a ha,Sape Kayan,6ObFJ4MXsB3DH3Kc7TKV2R,traditional music,Other,direct,1.0
a-trak + milo,a-trak + milo,a-trak + milo,a trak milo,,,,,none,0.0
a.b. skhy,a.b. skhy,a.b. skhy,a b skhy,A.B. Skhy,09vDvrDW4WHENV17uxHAat,blues rock;psychedelic rock,Rock,direct,1.0
a.l.t.,a.l.t.,a.l.t.,a l t,All Time Low,46gyXjRIvN1NL1eCB8GBxo,emo;pop punk;punk,Rock,direct,1.0
aaliyah,aaliyah,aaliyah,aaliyah,Aaliyah,0urTpYCsixqZwgNTkPJOJ4,r&b,RnB,direct,1.0
aaron carter,aaron carter,aaron carter,aaron carter,Aaron Carter,5338fdSzGNOFD4cxAxDTeq,bubblegum pop,Pop,direct,1.0
aaron hall,aaron hall,aaron hall,aaron hall,Aaron Hall,772SIFJQiXTCfxncTK1UMn,new jack swing;quiet storm,RnB,direct,1.0
aaron lewis,aaron lewis,aaron lewis,aaron lewis,Aaron Lewis,2t2XKfWKLXpFIjFwy1K8wx,country;outlaw country,Country,direct,1.0
aaron lewis of staind,aaron lewis of staind,aaron lewis of staind,aaron lewis of staind,,,,,none,0.0
aaron lines,aaron lines,aaron lines,aaron lines,Aaron Lines,3YmywXnB2RxQ9IvUzZqvo9,,,none,0.0
aaron neville,aaron neville,aaron neville,aaron neville,Aaron Neville,57ALvbCBaCkNlgTOSiUPdT,classic soul,RnB,direct,1.0
aaron tippin,aaron tippin,aaron tippin,aaron tippin,Aaron Tippin,4XwKU420OWVk38vz1KvH3M,classic country;country;traditional country,Country,direct,1.0
ab logic,ab logic,ab logic,ab logic,A.B. Logic,3uuPMhG3hFjDQwMat8Zj9b,eurodance,Other,direct,1.0
abaco dream,abaco dream,abaco dream,abaco dream,,,,,none,0.0
abba,abba,abba,abba,ABBA,0LcJLqbBmaGUft1e9Mm8HV,,,none,0.0
abc,abc,abc,abc,Nursery Rhymes ABC,26UV9EKIInWeV0jJysGZum,children's music;lullaby,Other,direct,1.0
abra moore,abra moore,abra moore,abra moore,Abra Moore,4Nfj9qeKS8OmfFmOA6K6K2,,,none,0.0
abstrac',abstrac',abstrac,abstrac,Kevin Abstract,07EcmJpfAday8xGkslfanE,,,none,0.0
ac/dc,ac/dc,ac/dc,ac dc,AC/DC,711MCceyCBcFnzjGY4Q7Un,classic rock;hard rock;rock;rock and roll,Rock,direct,1.0
ace,ace,ace,ace,Rico Ace,4sY0lTSkfDMMt27cVvFT6o,,,none,0.0
ace cannon,ace cannon,ace cannon,ace cannon,Ace Cannon,5tZo7rC9bqWAmhJ1bsejXb,northern soul,RnB,direct,1.0
ace frehley,ace frehley,ace frehley,ace frehley,Ace Frehley,62olK5zZHSgFUXGDykgBL8,glam metal;glam rock,Rock,direct,1.0
ace hood,ace hood,ace hood,ace hood,Ace Hood,31HjiqargV4NAw4GZqUale,,,none,0.0
ace of base,ace of base,ace of base,ace of base,Ace of Base,5ksRONqssB7BR161NTtJAm,eurodance;europop,Pop,direct,1.0
ace spectrum,ace spectrum,ace spectrum,ace spectrum,Ace Spectrum,5wLCYIHgd7kXSFEf1oOh8R,,,none,0.0
acraze,acraze,acraze,acraze,ACRAZE,4pnp4w9g30yLfVIAFnZMRd,tech house,Electronic,direct,1.0
action bronson,action bronson,action bronson,action bronson,Action Bronson,7BMccF0hQFBpP6417k1OtQ,east coast hip hop,HipHop,direct,1.0
adam ant,adam ant,adam ant,adam ant,Adam Ant,3QP0XPDwbvGivqDAaJ5f5G,new wave,Other,direct,1.0
adam clayton,adam clayton,adam clayton,adam clayton,Adam Clayton,4VNYuBtDAKCIisEyieUVzc,,,none,0.0
adam faith,adam faith,adam faith,adam faith,Adam Faith,284fAcjDaBYlPBLZnQkZU0,rock and roll,Rock,direct,1.0
adam lambert,adam lambert,adam lambert,adam lambert,Adam Lambert,6prmLEyn4LfHlD9NnXWlf7,,,none,0.0
adam levine,adam levine,adam levine,adam levine,Adam Levine,4bYPcJP5jwMhSivRcqie2n,,,none,0.0
adam s,adam s,adam s,adam s,Sammy Adams,1S9WGrK7SZfXXQtHBYzDle,,,none,0.0
adam wade,adam wade,adam wade,adam wade,Adam Wade,1rBtwsSkGLKYGhL5yj98Wd,,,none,0.0
adam wakefield,adam wakefield,adam wakefield,adam wakefield,Adam Wakefield,6vVB9hUpiPCp5SWAYwSzUt,,,none,0.0
addison rae,addison rae,addison rae,addison rae,Addison Rae,4gvjmrtzydbMpyJaXUtwvP,,,none,0.0
addrisi brothers,addrisi brothers,addrisi brothers,addrisi brothers,The Addrisi Brothers,4vrpLwbYAx59ca8wYZrYY9,,,none,0.0
adele,adele,adele,adele,Adele,4dpARuHxo51G3z768sgnrY,soft pop,Pop,direct,1.0
adina howard,adina howard,adina howard,adina howard,Adina Howard,266SmBZTt4zRzaKEANWbfQ,new jack swing,RnB,direct,1.0
adrian belew,adrian belew,adrian belew,adrian belew,Adrian Belew,67ACRXvvMXGf3zGJMefM63,art rock;progressive rock,Rock,direct,1.0
adrian kimberly,adrian kimberly,adrian kimberly,adrian kimberly,"Kimberly McCoul Risinger, flute; Adriana Ransom, cello; Illinois State University Wind Symphony; Stephen K. Steele, conductor",6U61PUwQGfDEdujTCDhLef,,,none,0.0
aerosmith,aerosmith,aerosmith,aerosmith,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,classic rock;rock,Rock,direct,1.0
afi,afi,afi,afi,AFI,19I4tYiChJoxEO5EuviXpz,emo;horror punk;punk;skate punk,Rock,direct,1.0
afrika bambaataa,afrika bambaataa,afrika bambaataa,afrika bambaataa,Afrika Bambaataa,7cg61q8kK8jlFi8TKKw70p,east coast hip hop;funk melody;miami bass;old school hip hop,HipHop,direct,1.0
afrique,afrique,afrique,afrique,Afrique63,2d8l23L6NAide8PQq2RawI,german hip hop,HipHop,direct,1.0
afrojack,afrojack,afrojack,afrojack,AFROJACK,4D75GcNG95ebPtNvoNVXhz,big room;edm,Electronic,direct,1.0
afroman,afroman,afroman,afroman,Afroman,4Icvbp9RDt5aY2TWDOVDsr,,,none,0.0
after 7,after 7,after 7,after 7,After 7,4UPcJIhr5K5fPsm4itqT7E,new jack swing;quiet storm,RnB,direct,1.0
after the fire,after the fire,after the fire,after the fire,After The Fire,194g4SFwSSzyPtgkH7v3Cx,new wave,Other,direct,1.0
aftershock,aftershock,aftershock,aftershock,Aftershock,6KlY7jizsLWQcXR1F2Sn9j,frenchcore;hardcore;hardstyle,Other,direct,1.0
agnetha faltskog,agnetha faltskog,agnetha faltskog,agnetha faltskog,Agnetha Fältskog,7fUtt9kVZOyn9LWy0JbDRI,swedish pop,Pop,direct,1.0
agnetha faltskog/peter cetera,agnetha faltskog/peter cetera,agnetha faltskog/peter cetera,agnetha faltskog peter cetera,,,,,none,0.0
agust d,agust d,agust d,agust d,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,k-pop;k-rap,KPop,direct,1.0
ahmad,ahmad,ahmad,ahmad,Ahmad Simmons,3KpWvpRW5ZDfndzjomuCee,musicals,Other,direct,1.0
aimee mann,aimee mann,aimee mann,aimee mann,Aimee Mann,3UpIbyXfGzmHG6TMH4dJEk,,,none,0.0
air supply,air supply,air supply,air supply,Air Supply,4xXCRXOfQKQ2gjWxNhNzYW,soft rock,Rock,direct,1.0
airwaves,airwaves,airwaves,airwaves,Angels & Airwaves,7xklw3WodFZiNNmQt3DIgp,pop punk,Rock,direct,1.0
ajr,ajr,ajr,ajr,AJR,6s22t5Y3prQHyaHWUN1R1C,,,none,0.0
akon,akon,akon,akon,Artist Ko Ensemble,1SAObfwYJSC9qgMlCcUVRp,,,none,0.0
al (he's the king) hirt,al hirt,al hirt,al hirt,Al Hirt,0TGsWvnbtExsbGUSWtXENE,big band,Other,direct,1.0
al b. sure!,al b. sure!,al b. sure!,al b sure,Al B. Sure!,1fvz0vd4P0LNMkAysF1ivk,new jack swing;quiet storm,RnB,direct,1.0
al brown's tunetoppers,al brown's tunetoppers,al browns tunetoppers,al browns tunetoppers,,,,,none,0.0
al caiola,al caiola,al caiola,al caiola,Al Caiola,1kiuYnpzdoWeSpdHObdhQ6,exotica;orchestral,Classical,direct,1.0
al casey,al casey,al casey,al casey,Al Casey,1HplhaIu7J9Qh9rllqt572,rockabilly;surf rock,Rock,direct,1.0
al casey combo,al casey combo,al casey combo,al casey combo,Al Casey Combo,7yhJI9xtH2OP5DRPL6eibf,,,none,0.0
al corley,al corley,al corley,al corley,Al Corley,1xuHClal8p5s4nFkkdqbzv,,,none,0.0
al delory,al delory,al delory,al delory,Al DeLory,3qFVpbWBPJhBNaEDVazsxz,cha cha cha;latin jazz;mambo;salsa,Latin,direct,1.0
al downing,al downing,al downing,al downing,Big Al Downing,1sGeKMv93BTqkIShKWlR8Z,boogie-woogie;rockabilly,Rock,direct,1.0
al green,al green,al green,al green,Al Green,3dkbV4qihUeMsqN4vBGg93,classic soul;motown;soul;soul blues,RnB,direct,1.0
al greene,al greene,al greene,al greene,Alastair Greene,77WACnfI6qX7MLBZeW7ntn,blues;blues rock;modern blues,Rock,direct,1.0
al hirt,al hirt,al hirt,al hirt,al hirt,0TGsWvnbtExsbGUSWtXENE,big band,Other,direct,1.0
al jarreau,al jarreau,al jarreau,al jarreau,Al Jarreau,3YR92OLKlvkK5oKNekSqXe,jazz;smooth jazz;vocal jazz;yacht rock,Rock,direct,1.0
al kent,al kent,al kent,al kent,Alex Kentucky,7qp7gX6DxDJw9WRd3EYoik,,,none,0.0
al martino,al martino,al martino,al martino,Al Martino,7egNqIGRldMzifHoh8pib6,adult standards;easy listening,Other,direct,1.0
al stewart,al stewart,al stewart,al stewart,Alexander Stewart,0znpFLuaey34oJTE1jHSnT,,,none,0.0
al wilson,al wilson,al wilson,al wilson,Al Wilson,2RwV62DIxFGEn8aWO3iaMM,classic soul;motown;northern soul;yacht rock,Rock,direct,1.0
alabama,alabama,alabama,alabama,Alabama,6rJqqRce0Kvo2dJUXoHleC,christian country;classic country;country;country rock,Rock,direct,1.0
alabama shakes,alabama shakes,alabama shakes,alabama shakes,Alabama Shakes,16GcWuvvybAoaHr0NqT8Eh,,,none,0.0
alan jackson,alan jackson,alan jackson,alan jackson,Alan Jackson,4mxWe1mtYIYfP040G38yvS,christian country;classic country;country,Gospel,direct,1.0
alan o'day,alan o'day,alan oday,alan oday,Alan Price & The Modern Day,4CoGyfKSsNnm8W9DUQe75l,,,none,0.0
alan parsons,alan parsons,alan parsons,alan parsons,The Alan Parsons Project,2m62cc253Xvd9qYQ8d2X3d,classic rock;progressive rock,Rock,direct,1.0
alan price set,alan price set,alan price set,alan price set,,,,,none,0.0
alan walker,alan walker,alan walker,alan walker,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,,,none,0.0
alana davis,alana davis,alana davis,alana davis,Alana Davis,2CQdVOUWYfEbxhWTgQdUwm,,,none,0.0
alanis morissette,alanis morissette,alanis morissette,alanis morissette,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,,,none,0.0
alannah myles,alannah myles,alannah myles,alannah myles,Alannah Myles,6IYnSXO40Bh7Zdqhf6rQoj,,,none,0.0
albert hammond,albert hammond,albert hammond,albert hammond,Albert Hammond,34E3csCxpXunPGEkOVVX2g,,,none,0.0
albert king,albert king,albert king,albert king,Albert King,5aygfDCEaX5KTZOxSCpT9o,blues;blues rock;classic blues;jazz blues;modern blues;soul blues,Rock,direct,1.0
aldo nova,aldo nova,aldo nova,aldo nova,Aldo Nova,3jtTd1E9mBxYYU987s32Fm,aor;arena rock;glam metal,Rock,direct,1.0
ale,ale,ale,ale,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,latin;reggaeton;trap latino;urbano latino,Latin,direct,1.0
alec benjamin + alessia cara,alec benjamin + alessia cara,alec benjamin + alessia cara,alec benjamin alessia cara,,,,,none,0.0
alej,alej,alej,alej,All Artist Adella,6V394G6torkxVfqL39qEgK,dangdut;koplo;sholawat,Other,direct,1.0
aleman,aleman,aleman,aleman,Alemán,4QFG9KrGWEbr6hNA58CAqE,electro corridos;latin hip hop;mexican hip hop,Latin,direct,1.0
alessi,alessi,alessi,alessi,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,,,none,0.0
alessia cara,alessia cara,alessia cara,alessia cara,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,,,none,0.0
alesso,alesso,alesso,alesso,Alesso,4AVFqumd2ogHFlRbKIjp1t,edm,Electronic,direct,1.0
alesso / katy perry,alesso / katy perry,alesso / katy perry,alesso katy perry,,,,,none,0.0
alfonzo hunter,alfonzo hunter,alfonzo hunter,alfonzo hunter,Alfonzo Hunter,1JWpzwcWgItQFHLRJ1fRKr,new jack swing,RnB,direct,1.0
ali gatie,ali gatie,ali gatie,ali gatie,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,,,none,0.0
ali thomson,ali thomson,ali thomson,ali thomson,Ali Thomson,57BUG40Gg14VfiPiK9KedB,aor;yacht rock,Rock,direct,1.0
alias,alias,alias,alias,Sevn Alias,0HDMwoCS316xhKCZlJPBnc,,,none,0.0
alice cooper,alice cooper,alice cooper,alice cooper,Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,classic rock;glam metal;glam rock;hard rock;proto-punk,Rock,direct,1.0
alice deejay,alice deejay,alice deejay,alice deejay,Alice Deejay,2tbvDi9eXf9XXp06LupkED,eurodance;europop,Pop,direct,1.0
alice in chains,alice in chains,alice in chains,alice in chains,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,grunge;post-grunge,Rock,direct,1.0
alice merton,alice merton,alice merton,alice merton,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,,,none,0.0
alice wonder l,alice wonder l,alice wonder l,alice wonder l,ALICE WONDER LAND,3AJpTh7n22Kpc2mECfmHEX,,,none,0.0
alicia bridges,alicia bridges,alicia bridges,alicia bridges,Alicia Bridges,1UY4oIFpjCKe5qIhKDcloe,disco,Other,direct,1.0
alicia keys,alicia keys,alicia keys,alicia keys,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,neo soul;r&b,RnB,direct,1.0
alien ant farm,alien ant farm,alien ant farm,alien ant farm,Alien Ant Farm,6TZdvF1kFzwnQLgHQynzsO,alternative metal;nu metal,Metal,direct,1.0
alisan porter,alisan porter,alisan porter,alisan porter,Alisan Porter,3Yw2flLUwQIZgpA2qSNj30,,,none,0.0
alisha,alisha,alisha,alisha,Alisha Chinai,4mBxoO0pAcMbAwuTcrcLMc,bollywood;desi;hindi pop,Pop,direct,1.0
alison gold,alison gold,alison gold,alison gold,Alison Goldfrapp,72f5AR6hMeL3BwtcO7HqhS,,,none,0.0
alison krauss + union station,alison krauss + union station,alison krauss + union station,alison krauss union station,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,bluegrass;newgrass,Country,direct,1.0
alison moyet,alison moyet,alison moyet,alison moyet,Alison Moyet,0s0rOb0gT2S9N0SDcjtPC4,synthpop,Pop,direct,1.0
alive,alive,alive,alive,half•alive,7sOR7gk6XUlGnxj3p9F54k,,,none,0.0
alive 'n kickin',alive 'n kickin',alive n kickin,alive n kickin,Alive 'N Kickin',5rBmHhrU75aJGvWUW9MmoK,,,none,0.0
all city,all city,all city,all city,All City,0VYyfOLiaaL7zBNEP1lqmU,boom bap;east coast hip hop;underground hip hop,HipHop,direct,1.0
all saints,all saints,all saints,all saints,All Saints,5TDVKqW9uhqGjwwwKGuma4,,,none,0.0
all sports b,all sports b,all sports b,all sports b,,,,,none,0.0
all star tribute,all star tribute,all star tribute,all star tribute,All Star Tribute,6imgPvjUxWkB5xtymEArjJ,,,none,0.0
all time low,all time low,all time low,all time low,All Time Low,46gyXjRIvN1NL1eCB8GBxo,emo;pop punk;punk,Rock,direct,1.0
all-4-one,all-4-one,all-4-one,all 4 one,All-4-One,1B8ySGDAiXTCvnJNH4HSCG,,,none,0.0
allan clarke,allan clarke,allan clarke,allan clarke,Allan Clarke,1ebOaGhMQNXxR8tlKxBeG5,,,none,0.0
allan sherman,allan sherman,allan sherman,allan sherman,Allan Sherman,1enLi8njBlk1YlDg44MtJm,comedy,Other,direct,1.0
allure,allure,allure,allure,Allure,1VPr8y4GGZJBtWyaoLdYUT,,,none,0.0
