artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year
living colour,living colour,living colour,living colour,Living Colour,6Uhp7WA6sjm5ZL6Xz561de,funk rock;hard rock,spotify,artist,1989
living in a box,living in a box,living in a box,living in a box,Living In A Box,4W2dcPOyD7eSfJCPHCfwoA,synthpop,spotify,artist,1987
livingston taylor,livingston taylor,livingston taylor,livingston taylor,Livingston Taylor,2dMPVdTlcLlRcWtsrEXwAO,,none,artist,1980
liz damon's orient express,liz damon's orient express,liz damon's orient express,liz damons orient express,,,,none,,1971
liz phair,liz phair,liz phair,liz phair,Liz Phair,2LXeJdQVcFkhkWydphLI74,,none,artist,2004
lizzo,lizzo,lizzo,lizzo,Lizzo,56oDRnqbIiwx4mymNEv7dS,,none,artist,2023
lizzo featuring cardi b,lizzo,lizzo,lizzo,Lizzo,56oDRnqbIiwx4mymNEv7dS,,none,l1,2021
lizzo featuring sza,lizzo,lizzo,lizzo,Lizzo,56oDRnqbIiwx4mymNEv7dS,,none,l1,2023
lizzy mcalpine,lizzy mcalpine,lizzy mcalpine,lizzy mcalpine,Lizzy McAlpine,1GmsPCcpKgF9OhlNXjOsbS,,none,artist,2023
lloyd,lloyd,lloyd,lloyd,Lloyd,5pXVjI7iZglxwBM9jMikli,,none,artist,2011
lloyd banks,lloyd banks,lloyd banks,lloyd banks,Lloyd Banks,3vDUJHQtqT3jFRZ2ECXDTi,,none,artist,2004
lloyd banks featuring 50 cent,lloyd banks,lloyd banks,lloyd banks,Lloyd Banks,3vDUJHQtqT3jFRZ2ECXDTi,,none,l1,2006
lloyd banks featuring avant,lloyd banks,lloyd banks,lloyd banks,Lloyd Banks,3vDUJHQtqT3jFRZ2ECXDTi,,none,l1,2005
lloyd banks featuring juelz santana,lloyd banks,lloyd banks,lloyd banks,Lloyd Banks,3vDUJHQtqT3jFRZ2ECXDTi,,none,l1,2010
lloyd featuring andre 3000 & lil wayne,lloyd,lloyd,lloyd,Lloyd,5pXVjI7iZglxwBM9jMikli,,none,l1,2011
lloyd featuring ashanti,lloyd,lloyd,lloyd,Lloyd,5pXVjI7iZglxwBM9jMikli,,none,l1,2004
lloyd featuring lil wayne,lloyd,lloyd,lloyd,Lloyd,5pXVjI7iZglxwBM9jMikli,,none,l1,2008
