artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year
ludacris featuring mystikal & infamous 2.0,ludacris,ludacris,ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,southern hip hop,spotify,l1,2002
ludacris featuring nate dogg,ludacris,ludacris,ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,southern hip hop,spotify,l1,2001
ludacris featuring nicki minaj,ludacris,ludacris,ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,southern hip hop,spotify,l1,2010
ludacris featuring pharrell,ludacris,ludacris,ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,southern hip hop,spotify,l1,2007
ludacris featuring shawnna,ludacris,ludacris,ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,southern hip hop,spotify,l1,2004
ludacris featuring sleepy brown,ludacris,ludacris,ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,southern hip hop,spotify,l1,2002
ludacris featuring trey songz,ludacris,ludacris,ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,southern hip hop,spotify,l1,2010
ludacris featuring usher & david guetta,ludacris,ludacris,ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,southern hip hop,spotify,l1,2013
"ludacris, ll cool j & keith murray","ludacris, ll cool j & keith murray",ludacris,ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,southern hip hop,spotify,l2,2002
luis cardenas,luis cardenas,luis cardenas,luis cardenas,Luis Cardenas,0BSpkVhHViBMvJJx2u1BlZ,,none,artist,1986
luis fonsi,luis fonsi,luis fonsi,luis fonsi,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,latin,spotify,artist,2008
luis fonsi & daddy yankee featuring justin bieber,luis fonsi & daddy yankee,luis fonsi,luis fonsi,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,latin,spotify,l2,2018
luis fonsi & demi lovato,luis fonsi & demi lovato,luis fonsi,luis fonsi,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,latin,spotify,l2,2018
luis r conriquez x neton vega,luis r conriquez x neton vega,luis r conriquez,luis r conriquez,Luis R Conriquez,7htdmAJ5VQGFMFzxOQJmLn,,none,l2,2024
lukas graham,lukas graham,lukas graham,lukas graham,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,dansk pop,spotify,artist,2019
luke,luke,luke,luke,LUKE,1Cd2aPC2FCK4SZ51kK7FOl,,none,artist,1996
luke bryan,luke bryan,luke bryan,luke bryan,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,country;acoustic country,spotify,artist,2025
luke bryan featuring karen fairchild,luke bryan,luke bryan,luke bryan,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,country;acoustic country,spotify,l1,2016
luke combs,luke combs,luke combs,luke combs,Luke Combs,718COspgdWOnwOFpJHRZHS,country,spotify,artist,2025
luke combs & brooks & dunn,luke combs & brooks & dunn,luke combs,luke combs,Luke Combs,718COspgdWOnwOFpJHRZHS,country,spotify,l2,2019
luke combs featuring amanda shires,luke combs,luke combs,luke combs,Luke Combs,718COspgdWOnwOFpJHRZHS,country,spotify,l1,2020
luke combs featuring eric church,luke combs,luke combs,luke combs,Luke Combs,718COspgdWOnwOFpJHRZHS,country,spotify,l1,2020
luke featuring no good but so good,luke,luke,luke,LUKE,1Cd2aPC2FCK4SZ51kK7FOl,,none,l1,1998
luke featuring the 2 live crew,luke,luke,luke,LUKE,1Cd2aPC2FCK4SZ51kK7FOl,,none,l1,1990
lulu,lulu,lulu,lulu,Lulu,0jYKX08u1XxmHrl5TdM2QZ,,none,artist,1982
lulu and the luvers,lulu and the luvers,lulu,lulu,Lulu,0jYKX08u1XxmHrl5TdM2QZ,,none,l2,1967
lulu with the dixie flyers,lulu with the dixie flyers,lulu,lulu,Lulu,0jYKX08u1XxmHrl5TdM2QZ,,none,l2,1970
lumidee,lumidee,lumidee,lumidee,Lumidee,1IO0GVa1xjkFMXsg66FiE9,,none,artist,2003
lumidee featuring tony sunshine,lumidee,lumidee,lumidee,Lumidee,1IO0GVa1xjkFMXsg66FiE9,,none,l1,2007
lunar funk,lunar funk,lunar funk,lunar funk,Lunar Funk,19fdAY46dGJL0XLvT4Mtuf,jungle;drum and bass,spotify,artist,1972
"lunay, daddy yankee & bad bunny","lunay, daddy yankee & bad bunny",lunay,lunay,Lunay,47MpMsUfWtgyIIBEFOr4FE,reggaeton,spotify,l2,2019
lunchmoney lewis,lunchmoney lewis,lunchmoney lewis,lunchmoney lewis,LunchMoney Lewis,2iUbk5KhZYZt4CRvWbwb7S,,none,artist,2015
luniz,luniz,luniz,luniz,Luniz,3z3g65U7mmyyBmmDfsQK9x,g-funk;west coast hip hop;old school hip hop,spotify,artist,1995
lupe fiasco,lupe fiasco,lupe fiasco,lupe fiasco,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,,none,artist,2012
lupe fiasco & guy sebastian,lupe fiasco & guy sebastian,lupe fiasco,lupe fiasco,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,,none,l2,2013
lupe fiasco featuring ed sheeran,lupe fiasco,lupe fiasco,lupe fiasco,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,,none,l1,2014
lupe fiasco featuring mdma,lupe fiasco,lupe fiasco,lupe fiasco,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,,none,l1,2011
lupe fiasco featuring matthew santos,lupe fiasco,lupe fiasco,lupe fiasco,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,,none,l1,2009
lupe fiasco featuring skylar grey,lupe fiasco,lupe fiasco,lupe fiasco,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,,none,l1,2011
lupe fiasco featuring trey songz,lupe fiasco,lupe fiasco,lupe fiasco,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,,none,l1,2011
luscious jackson,luscious jackson,luscious jackson,luscious jackson,Luscious Jackson,1EcRE2Nnqg2spdn2otakhg,,none,artist,1997
lustra,lustra,lustra,lustra,Lustra,3IJ770I1QPmwVp7yug0eJ4,,none,artist,2006
luther ingram,luther ingram,luther ingram,luther ingram,Luther Ingram,5Pek6HAr0BoHD9P1RuA7d5,classic soul;northern soul,spotify,artist,1973
luther vandross,luther vandross,luther vandross,luther vandross,Luther Vandross,19y5MFBH7gohEdGwKM7QsP,quiet storm;soul,spotify,artist,2003
luther vandross & mariah carey,luther vandross & mariah carey,luther vandross,luther vandross,Luther Vandross,19y5MFBH7gohEdGwKM7QsP,quiet storm;soul,spotify,l2,1995
luther vandross and janet jackson with bbd and ralph tresvant,luther vandross and janet jackson with bbd and ralph tresvant,luther vandross,luther vandross,Luther Vandross,19y5MFBH7gohEdGwKM7QsP,quiet storm;soul,spotify,l2,1992
luther vandross with gregory hines,luther vandross with gregory hines,luther vandross,luther vandross,Luther Vandross,19y5MFBH7gohEdGwKM7QsP,quiet storm;soul,spotify,l2,1987
lutricia mcneal,lutricia mcneal,lutricia mcneal,lutricia mcneal,Lutricia McNeal,15CJJkRAJlTG8kA8Eo1f4x,,none,artist,1998
lyfe jennings,lyfe jennings,lyfe jennings,lyfe jennings,Lyfe Jennings,33C3ByGk9NCrjTIXr6npqf,r&b,spotify,artist,2006
lyme & cybelle,lyme & cybelle,lyme,lyme,Lyme & Cybelle,4MIaWuwBsxDyPXzkEzC4Zh,baroque pop,spotify,artist,1966
lyn collins,lyn collins,lyn collins,lyn collins,Lyn Collins,6XJPGyxrP66scKvIE9kpPN,funk;classic soul;soul,spotify,artist,1972
lynn anderson,lynn anderson,lynn anderson,lynn anderson,Lynn Anderson,502FY8XQYRxClWgolQ3Hf2,classic country,spotify,artist,1975
lynyrd skynyrd,lynyrd skynyrd,lynyrd skynyrd,lynyrd skynyrd,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,southern rock;classic rock;rock,spotify,artist,1978
"lyrical lemonade, juice wrld & cordae","lyrical lemonade, juice wrld & cordae",lyrical lemonade,lyrical lemonade,Lyrical Lemonade,3VrGfWE8YdYMK4ySpnE0ly,,none,l2,2023
lysette,lysette,lysette,lysette,Lysette,0T3ISCwYxbdcxBt6fuO2sV,,none,artist,1998
m,m,m,m,,,,none,,1980
m + m,m + m,m,m,,,,none,,1984
m people,m people,m people,m people,M People,3lcbKPLl0ci2mKRdcP5Etf,,none,artist,1994
m.c. brains,m.c. brains,m.c. brains,mc brains,M.C. Brains,0NCuPxLIaNGhlqF86xvid7,new jack swing,spotify,artist,1992
m.c. breed,m.c. breed,m.c. breed,mc breed,M.C. Breed,4jS7sU4FrciQRkkDYZe7UI,,none,artist,1993
m.c. breed & d.f.c.,m.c. breed & d.f.c.,m.c. breed,mc breed,M.C. Breed,4jS7sU4FrciQRkkDYZe7UI,,none,l2,1992
m.c. hammer,m.c. hammer,m.c. hammer,mc hammer,M.C. Hammer,7wDIOtDvZjDc1fNOIFZ4v5,,none,artist,1994
m.i.a.,m.i.a.,m.i.a.,mia,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,,none,artist,2008
m.i.a. & a r rahman,m.i.a. & a r rahman,m.i.a.,mia,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,,none,l2,2009
m.v.p. (most valuable playas) featuring stagga lee,m.v.p.,m.v.p.,mvp,M.V.P.,3J1uTWBhRAAa76cJltd6tS,,none,l1,2003
m/a/r/r/s,m,m,m,M/A/R/R/S,13jRo2FyagCX9wrKIpOt46,acid house,spotify,artist,1988
m2m,m2m,m2m,m2m,M2M,0ZzYDST6Dib7iYd8hmcLcH,norwegian pop,spotify,artist,2000
m83.,m83.,m83.,m83,M83,63MQldklfxkjYDoUE4Tppz,,none,l3,2012
m:g,m:g,m:g,mg,MG,6SWOdiks4Ac3lMM8NCqDm0,trap,spotify,l3,1998
magic!,magic!,magic!,magic,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,,none,artist,2015
max featuring gnash,max,max,max,MAX,1bqxdqvUtPWZri43cKHac8,,none,l1,2018
mc eiht,mc eiht,mc eiht,mc eiht,MC Eiht,4XqfpACObRB5AsBcUYjL8X,west coast hip hop;g-funk;gangster rap,spotify,artist,1993
mc luscious,mc luscious,mc luscious,mc luscious,MC Luscious,0bBiNXujSgJNfPtUqyzvTx,miami bass;funk melody,spotify,artist,1992
mc luscious featuring kinsui,mc luscious,mc luscious,mc luscious,MC Luscious,0bBiNXujSgJNfPtUqyzvTx,miami bass;funk melody,spotify,l1,1997
mc lyte,mc lyte,mc lyte,mc lyte,MC Lyte,2ZbWlThDW0qSbI3hinpl0w,old school hip hop;east coast hip hop,spotify,artist,1997
mc lyte featuring xscape,mc lyte,mc lyte,mc lyte,MC Lyte,2ZbWlThDW0qSbI3hinpl0w,old school hip hop;east coast hip hop,spotify,l1,1996
mc nas-d & dj fred,mc nas-d & dj fred,mc nas-d,mc nasd,MC Nas-D,3JX6XUffN4lgNvVULyYgnD,miami bass;bass music,spotify,l2,1993
mc ren,mc ren,mc ren,mc ren,MC Ren,4fbyGOEjViyE97W58eGEgU,west coast hip hop;g-funk;gangster rap;old school hip hop,spotify,artist,1993
mc serch,mc serch,mc serch,mc serch,MC Serch,40bZG5ihgjqtufTvy8dz2u,east coast hip hop,spotify,artist,1992
mc skat kat & the stray mob,mc skat kat & the stray mob,mc skat kat,mc skat kat,,,,none,,1991
mc5,mc5,mc5,mc5,MC5,4WquJweZPIK9qcfVFhTKvf,proto-punk;garage rock;punk,spotify,artist,1969
mfsb,mfsb,mfsb,mfsb,MFSB,2mknvtcck8i82nKxDPDibv,philly soul;disco,spotify,artist,1976
mfsb featuring the three degrees,mfsb,mfsb,mfsb,MFSB,2mknvtcck8i82nKxDPDibv,philly soul;disco,spotify,l1,1974
mgk,mgk,mgk,mgk,mgk,6TIYQ3jFPwQSRmorSezPxX,,none,artist,2025
mgk & jelly roll,mgk & jelly roll,mgk,mgk,mgk,6TIYQ3jFPwQSRmorSezPxX,,none,l2,2024
mgk featuring waka flocka flame,mgk,mgk,mgk,mgk,6TIYQ3jFPwQSRmorSezPxX,,none,l1,2012
mgmt,mgmt,mgmt,mgmt,MGMT,0SwO7SWeDHJijQ3XNS7xEE,indie,spotify,artist,2009
mkto,mkto,mkto,mkto,MKTO,2l35CQqtYRh3d8ZIiBep4v,,none,artist,2014
mo3 x og bobby billions,mo3 x og bobby billions,mo3,mo3,MO3,44JEJiBvti7NiEhAfzWstv,,none,l2,2021
"moliy, silent addy, skillibeng & shenseea","moliy, silent addy, skillibeng & shenseea",moliy,moliy,MOLIY,2hVWBpjLW4Q7fboYz2pVYK,alté,spotify,l2,2025
mabel,mabel,mabel,mabel,Mabel,1MIVXf74SZHmTIp4V4paH4,,none,artist,2019
mable john,mable john,mable john,mable john,Mable John,2WKCi6dbtPIPiUzqSJWKRn,motown;classic soul;soul;northern soul,spotify,artist,1966
mac and katie kissoon,mac and katie kissoon,mac,mac,,,,none,,1971
mac davis,mac davis,mac davis,mac davis,Mac Davis,6HX8AbXUFaYRtlqKb4CCo0,classic country,spotify,artist,1981
mac demarco,mac demarco,mac demarco,mac demarco,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,indie;lo-fi indie,spotify,artist,2023
mac mcanally,mac mcanally,mac mcanally,mac mcanally,Mac McAnally,2dSu4iBQikoVlBc43gwaHY,,none,artist,1983
mac miller,mac miller,mac miller,mac miller,Mac Miller,4LLpKhyESsyAXpc4laK94U,,none,artist,2025
mac miller featuring sza,mac miller,mac miller,mac miller,Mac Miller,4LLpKhyESsyAXpc4laK94U,,none,l1,2025
maceo and the macks,maceo and the macks,maceo,maceo,Maceo And The Macks,0rDIqnqwAmDPL1gyzoFH9y,funk;jazz funk,spotify,artist,1973
machine,machine,machine,machine,,,,none,,1979
machine gun kelly,machine gun kelly,machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,artist,2021
machine gun kelly & bring me the horizon,machine gun kelly & bring me the horizon,machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,l2,2022
machine gun kelly & corpse,machine gun kelly & corpse,machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,l2,2021
machine gun kelly & halsey,machine gun kelly & halsey,machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,l2,2020
machine gun kelly & lil wayne,machine gun kelly & lil wayne,machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,l2,2022
machine gun kelly & willow,machine gun kelly & willow,machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,l2,2022
machine gun kelly featuring hailee steinfeld,machine gun kelly,machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,l1,2017
machine gun kelly x blackbear,machine gun kelly x blackbear,machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,l2,2022
machine gun kelly x camila cabello,machine gun kelly x camila cabello,machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,l2,2017
"machine gun kelly, x ambassadors & bebe rexha","machine gun kelly, x ambassadors & bebe rexha",machine gun kelly,machine gun kelly,Machine Gun Kelly,1lP7f2evgtQcghRmqkPb3j,,none,l2,2018
mack 10,mack 10,mack 10,mack 10,Mack 10,3USpNaxpX1iNqNnQWqg9ob,g-funk;west coast hip hop;gangster rap;old school hip hop,spotify,artist,1998
mack 10 & tha dogg pound,mack 10 & tha dogg pound,mack 10,mack 10,Mack 10,3USpNaxpX1iNqNnQWqg9ob,g-funk;west coast hip hop;gangster rap;old school hip hop,spotify,l2,1997
mack 10 featuring gerald levert,mack 10,mack 10,mack 10,Mack 10,3USpNaxpX1iNqNnQWqg9ob,g-funk;west coast hip hop;gangster rap;old school hip hop,spotify,l1,1998
"macklemore & ryan lewis featuring eric nally, melle mel, kool moe dee & grandmaster caz",macklemore & ryan lewis,macklemore,macklemore,Macklemore & Ryan Lewis,6WLvgbfYXQPO396oJEYCsi,,none,l1,2016
macklemore & ryan lewis featuring mary lambert,macklemore & ryan lewis,macklemore,macklemore,Macklemore & Ryan Lewis,6WLvgbfYXQPO396oJEYCsi,,none,l1,2013
macklemore & ryan lewis featuring ray dalton,macklemore & ryan lewis,macklemore,macklemore,Macklemore & Ryan Lewis,6WLvgbfYXQPO396oJEYCsi,,none,l1,2013
macklemore & ryan lewis featuring schoolboy q & hollis,macklemore & ryan lewis,macklemore,macklemore,Macklemore & Ryan Lewis,6WLvgbfYXQPO396oJEYCsi,,none,l1,2014
macklemore & ryan lewis featuring wanz,macklemore & ryan lewis,macklemore,macklemore,Macklemore & Ryan Lewis,6WLvgbfYXQPO396oJEYCsi,,none,l1,2013
macklemore featuring kesha,macklemore,macklemore,macklemore,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,,none,l1,2018
macklemore featuring skylar grey,macklemore,macklemore,macklemore,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,,none,l1,2017
macy gray,macy gray,macy gray,macy gray,Macy Gray,4ylR3zwA0zaapAu94fktwa,,none,artist,2000
mad cobra,mad cobra,mad cobra,mad cobra,Mad Cobra,24W0VzkQBfsrZb4YhdZHtE,ragga,spotify,artist,1993
mad lion,mad lion,mad lion,mad lion,MAD LION,0M6hQ36utfGvzzVP9sZThu,,none,artist,1994
madcon,madcon,madcon,madcon,Madcon,6c4sUNBgdonFJz8Kx2VsGz,norwegian hip hop,spotify,artist,2009
maddie & tae,maddie & tae,maddie,maddie,Maddie & Tae,34bhyY8jfKez7uKakMfy4y,country,spotify,artist,2020
madeintyo,madeintyo,madeintyo,madeintyo,MadeinTYO,5SyGEPymt1G2uto47tVWvZ,,none,artist,2016
madeline bell,madeline bell,madeline bell,madeline bell,Madeline Bell,3Eiku2RFtR4xvfYi9kNO4D,northern soul,spotify,artist,1968
madi davis,madi davis,madi davis,madi davis,Madi Davis,3BFzLbe62Gf73ZT5KdCPde,,none,artist,2015
madison avenue,madison avenue,madison avenue,madison avenue,Madison Avenue,6otgz5gkB40UnWFwTy0VDh,,none,artist,2000
madleen kane,madleen kane,madleen kane,madleen kane,Madleen Kane,2nCH7NlCpkfhzJMS4opstC,disco;hi-nrg,spotify,artist,1982
madness,madness,madness,madness,Madness,4AYkFtEBnNnGuoo8HaHErd,ska,spotify,artist,1984
madonna,madonna,madonna,madonna,Madonna,6tbjWDEIzxoDsBA1FuhfPW,,none,artist,2009
madonna featuring justin timberlake & timbaland,madonna,madonna,madonna,Madonna,6tbjWDEIzxoDsBA1FuhfPW,,none,l1,2008
madonna featuring nicki minaj,madonna,madonna,madonna,Madonna,6tbjWDEIzxoDsBA1FuhfPW,,none,l1,2015
madonna featuring nicki minaj & m.i.a.,madonna,madonna,madonna,Madonna,6tbjWDEIzxoDsBA1FuhfPW,,none,l1,2012
maejor ali featuring juicy j & justin bieber,maejor ali,maejor ali,maejor ali,,,,none,,2014
mag 7,mag 7,mag 7,mag 7,Mag 7,68H4DslAxWAgr7YqY0aYyk,,none,artist,1998
magazine 60,magazine 60,magazine 60,magazine 60,Magazine 60,6MrXYlcl32SK12YxMWJWte,italo disco;hi-nrg;italo dance;disco,spotify,artist,1986
maggie bell,maggie bell,maggie bell,maggie bell,Maggie Bell,5mZT64pztyifYahkPx6KMK,blues rock,spotify,artist,1974
magic lanterns,magic lanterns,magic lanterns,magic lanterns,Magic Lanterns,3KdjLRiBHU1Rq2NWaTH0fe,,none,artist,1969
magoo and timbaland,magoo and timbaland,magoo,magoo,Magoo,7pv3MRGkgkXa9Qn8sMctxT,,none,l2,1997
mahalia jackson,mahalia jackson,mahalia jackson,mahalia jackson,Mahalia Jackson,6QBUIuGCAJSAtefEY1EEdB,gospel;christmas,spotify,artist,1962
mai tai,mai tai,mai tai,mai tai,Mai Tai,00OJ7B9zJhTr5IQ1p4yG3l,,none,artist,1986
maino featuring t-pain,maino,maino,maino,Maino,20apXQGKM00jJTvYfyKwlb,,none,l1,2009
major harris,major harris,major harris,major harris,Major Harris,0mpVqJaKwg11LdSRrvI0PL,philly soul;classic soul;quiet storm;northern soul,spotify,artist,1976
major lance,major lance,major lance,major lance,Major Lance,7onp6ew3LGoQImTt1I78gt,northern soul;classic soul;motown;soul,spotify,artist,1970
"major lazer featuring bruno mars, tyga & mystic",major lazer,major lazer,major lazer,Major Lazer,738wLrAtLtCtFOLvQBXOXp,moombahton,spotify,l1,2013
major lazer featuring ellie goulding & tarrus riley,major lazer,major lazer,major lazer,Major Lazer,738wLrAtLtCtFOLvQBXOXp,moombahton,spotify,l1,2015
major lazer featuring justin bieber & mo,major lazer,major lazer,major lazer,Major Lazer,738wLrAtLtCtFOLvQBXOXp,moombahton,spotify,l1,2017
major lazer featuring nyla & fuse odg,major lazer,major lazer,major lazer,Major Lazer,738wLrAtLtCtFOLvQBXOXp,moombahton,spotify,l1,2016
major lazer featuring partynextdoor & nicki minaj,major lazer,major lazer,major lazer,Major Lazer,738wLrAtLtCtFOLvQBXOXp,moombahton,spotify,l1,2017
"major lazer featuring travis scott, camila cabello & quavo",major lazer,major lazer,major lazer,Major Lazer,738wLrAtLtCtFOLvQBXOXp,moombahton,spotify,l1,2017
major lazer x dj snake featuring mo,major lazer x dj snake,major lazer,major lazer,Major Lazer,738wLrAtLtCtFOLvQBXOXp,moombahton,spotify,l2,2016
malcolm todd,malcolm todd,malcolm todd,malcolm todd,Malcolm Todd,7eKkW1zo5uzW8kUntiiBvz,,none,artist,2025
malo,malo,malo,malo,Malo,2vmTJisPQCD5ThbxbFehAB,latin rock,spotify,artist,1972
maluma,maluma,maluma,maluma,Maluma,1r4hJ1h58CWwUQe3MxPuau,reggaeton;latin;urbano latino,spotify,artist,2019
maluma & carin leon,maluma & carin leon,maluma,maluma,Maluma,1r4hJ1h58CWwUQe3MxPuau,reggaeton;latin;urbano latino,spotify,l2,2024
maluma & the weeknd,maluma & the weeknd,maluma,maluma,Maluma,1r4hJ1h58CWwUQe3MxPuau,reggaeton;latin;urbano latino,spotify,l2,2021
maluma x nego do borel,maluma x nego do borel,maluma,maluma,Maluma,1r4hJ1h58CWwUQe3MxPuau,reggaeton;latin;urbano latino,spotify,l2,2018
mama cass,mama cass,mama cass,mama cass,Mama Cass,17PTR2ezI9ZJtGVzh92DcT,,none,artist,1969
mama cass elliot,mama cass elliot,mama cass elliot,mama cass elliot,Mama Cass Elliot,1VDgSKNnqmAhg9bc2dgQ0S,,none,artist,1970
mama cass with the mamas & the papas,mama cass with the mamas & the papas,mama cass,mama cass,Mama Cass,17PTR2ezI9ZJtGVzh92DcT,,none,l2,1968
mana,mana,mana,mana,,,,none,,2006
mana featuring prince royce,mana,mana,mana,,,,none,,2011
mandrill,mandrill,mandrill,mandrill,Mandrill,5rXAruZf5xM6ria9VAVXjw,,none,artist,1973
mandy moore,mandy moore,mandy moore,mandy moore,Mandy Moore,2LJxr7Pt3JnP60eLxwbDOu,,none,artist,2000
maneskin,maneskin,maneskin,maneskin,Maneskin,5iE7ObKXmY0BhcvOl7CeQk,,none,artist,2022
manfred mann,manfred mann,manfred mann,manfred mann,Manfred Mann,5670CyWrIOA7702gNjsGMZ,,none,artist,1969
manfred mann's earth band,manfred mann's earth band,manfred mann's earth band,manfred manns earth band,,,,none,,1984
mann,mann,mann,mann,Mann,3sAHunotiQdUXKSsFj5KUg,,none,artist,2011
mannie fresh,mannie fresh,mannie fresh,mannie fresh,Mannie Fresh,0fbFfVckGKsDbAfYnB5mD1,southern hip hop;new orleans bounce,spotify,artist,2005
manny kellem - his orchestra and voices,manny kellem - his orchestra and voices,manny kellem - his orchestra,manny kellem his orchestra,,,,none,,1968
mantovani & his orch.,mantovani & his orch.,mantovani,mantovani,Mantovani,4l2d1CRNjXgG4RBoA89Kle,orchestral;easy listening,spotify,l2,1961
mantovani & his orchestra,mantovani & his orchestra,mantovani,mantovani,Mantovani,4l2d1CRNjXgG4RBoA89Kle,orchestral;easy listening,spotify,l2,1960
mantronix featuring wondress,mantronix,mantronix,mantronix,Mantronix,5X3xYvzQbk57emX7fHuaIe,,none,l1,1990
manu dibango,manu dibango,manu dibango,manu dibango,Manu Dibango,30UIjoCGuL3Fa5BOc3ayNW,afrobeat;afropop;afro soul,spotify,artist,1973
manuel turizo,manuel turizo,manuel turizo,manuel turizo,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,reggaeton;pop urbano;latin;colombian pop,spotify,artist,2023
mar-keys,mar-keys,mar-keys,markeys,Markeys,4CuXPZvxZEpBfaBAH1VTi7,,none,l3,1962
marc almond,marc almond,marc almond,marc almond,Marc Almond,7nBZYpVAH6bD0QlD7Mpil7,synthpop;new wave,spotify,artist,1989
marc anthony,marc anthony,marc anthony,marc anthony,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,salsa;merengue;bachata;latin;latin pop,spotify,artist,2013
marc cohn,marc cohn,marc cohn,marc cohn,Marc Cohn,2C8mKwk3z5DtqLcSwUdYJ9,,none,artist,1991
marc e. bassy featuring g-eazy,marc e. bassy,marc e. bassy,marc e bassy,Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,,none,l1,2016
marc nelson,marc nelson,marc nelson,marc nelson,Marc Nelson,3UzHAzcGMpTl6OCo4gTIMr,,none,artist,2000
marcia griffiths,marcia griffiths,marcia griffiths,marcia griffiths,Marcia Griffiths,4qLV9FR6ZVLS6W8drD78hM,rocksteady;lovers rock;reggae;roots reggae,spotify,artist,1990
marcie blane,marcie blane,marcie blane,marcie blane,Marcie Blane,3PJdYV0ZaYdJz8l8sFRPgA,doo-wop,spotify,artist,1963
marcos hernandez,marcos hernandez,marcos hernandez,marcos hernandez,marcos hernandez,4rSUvQSZ374P86shpTtXkK,,none,artist,2005
marcy joe,marcy joe,marcy joe,marcy joe,,,,none,,1961
marcy levy & robin gibb,marcy levy & robin gibb,marcy levy,marcy levy,Marcy Levy,28uTcXwlZmoa0wOdhqZacA,,none,l2,1981
marcy playground,marcy playground,marcy playground,marcy playground,Marcy Playground,7AQzXO3NPNQsI7oNu5rC3r,,none,artist,1998
maren morris,maren morris,maren morris,maren morris,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,country,spotify,artist,2022
maren morris featuring vince gill,maren morris,maren morris,maren morris,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,country,spotify,l1,2017
margaret whiting,margaret whiting,margaret whiting,margaret whiting,Margaret Whiting,5ZGDxHhju6eE8ja4IyGe87,adult standards;vocal jazz;big band,spotify,artist,1967
margie joseph,margie joseph,margie joseph,margie joseph,Margie Joseph,5pq13QK3UcktjZaDw6dJEc,philly soul;classic soul;northern soul;soul,spotify,artist,1975
maria mena,maria mena,maria mena,maria mena,Maria Mena,3rTRHzFfbTk5GL3LpYZGHR,norwegian pop,spotify,artist,2004
maria muldaur,maria muldaur,maria muldaur,maria muldaur,Maria Muldaur,2VUiF0VFkXzB0DLg9AzrqT,yacht rock;blues,spotify,artist,1975
maria vidal,maria vidal,maria vidal,maria vidal,Maria Vidal,37KWtCblYpCK9KvleX26Oe,,none,artist,1984
mariah carey,mariah carey,mariah carey,mariah carey,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,christmas,spotify,artist,2025
mariah carey & boyz ii men,mariah carey & boyz ii men,mariah carey,mariah carey,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,christmas,spotify,l2,1996
mariah carey featuring ariana grande & jennifer hudson,mariah carey,mariah carey,mariah carey,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,christmas,spotify,l1,2020
